"run","Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
1,0.0,3832069.8595772544,3800095.5365033844,0.0
1,0.0,3832176.4406541674,3758380.0301639107,0.0
1,0.0,3832422.428689135,3693843.082825074,0.0
1,0.0,3832884.359842016,3627898.84960132,0.0
1,0.0,3833567.6448761513,3601537.6368280957,0.0
1,0.0,3834341.078236311,3522210.3453298365,0.0
1,0.0,3835381.5140126664,3519686.5915385974,0.0
1,4278.005106810008,3832155.825314103,3494454.2345191697,0.0
1,19664.56663667047,3817894.9357535597,3374685.9238260956,0.0
1,19664.56663667047,3819372.299126651,3304960.6299623875,0.0
1,19664.56663667047,3821087.004690532,3196961.6538727903,0.0
1,19664.56663667047,3823167.4225265915,3143480.216780471,0.0
1,51101.97565346664,3793995.637528949,3053062.8844897174,0.0
1,51101.97565346664,3796465.4133724133,2861972.8047065614,0.0
1,51101.97565346664,3799580.3887346326,2878118.7236190825,0.0
1,51101.97565346664,3802651.927618351,2882825.1777275456,0.0
1,51101.97565346664,3805718.016784654,2746536.556739089,0.0
1,51101.97565346664,3809248.621651473,2325920.9928195872,0.0
1,51101.97565346664,3814193.0470809126,2251686.888955017,0.0
1,51101.97565346664,3819401.400941332,2087981.8631172867,0.0
1,51101.97565346664,3825172.799400746,2073444.997751667,0.0
1,65106.33868200008,3817007.5290443758,1887623.8404731583,0.0
1,65106.33868200008,3823438.8080062806,1909296.4539531718,0.0
1,65106.33868200008,3829819.2825197903,1701646.25986875,0.0
1,65106.33868200008,3836913.1925952947,1447793.9655555354,0.0
1,65106.33868200008,3844876.9233520934,1470996.858554835,0.0
1,65106.33868200008,3852789.856901419,1393181.7373374219,0.0
1,65106.33868200008,3860988.550633298,1415237.9164634396,0.0
1,65106.33868200008,3869141.052747198,1437101.0477641264,0.0
1,65106.33868200008,3877247.852763809,1458140.5925174989,0.0
1,65106.33868200008,3885311.5436312966,1479135.5346800787,0.0
1,65106.33868200008,3893332.1303278,1500130.4768426593,0.0
1,65106.33868200008,3901309.4691727515,1521125.4190052394,0.0
1,65106.33868200008,3909243.4160066424,1542047.9339842268,0.0
1,65106.33868200008,3917134.0676133838,1562142.1856627567,0.0
1,65106.33868200008,3924984.0405532205,1511946.4034714224,0.0
1,65106.33868200008,3933027.499343494,1414215.4678684887,0.0
1,65106.33868200008,3941423.53944841,1435037.2662108403,0.0
1,65106.33868200008,3949778.1603592024,1455795.1703044062,0.0
1,65106.33868200008,3958091.436992719,1475897.1641425206,0.0
1,65106.33868200008,3966365.417902219,1495649.0334573002,0.0
1,65106.33868200008,3974601.139183702,1515400.9027720797,0.0
1,65106.33868200008,3982798.4733050745,1535152.7720868587,0.0
1,65106.33868200008,3990957.2923091357,1554834.5301901149,0.0
1,65106.33868200008,3999077.7015161985,1574167.2801591186,0.0
1,65106.33868200008,4007160.736254056,1593287.625053638,0.0
1,65106.33868200008,4015206.979958058,1526935.7811682322,0.0
1,65106.33868200008,4023501.217287358,1470546.9530434394,0.0
1,65106.33868200008,4032011.0648348373,1479639.2158567486,0.0
1,65106.33868200008,4040518.9709980977,1371367.5499043362,0.0
1,65106.33868200008,4049416.142401744,1392679.2833422644,0.0
1,65106.33868200008,4058271.9319319427,1413991.0167801918,0.0
1,65106.33868200008,4067086.2016491145,1435302.75021812,0.0
1,65106.33868200008,4075858.813153886,1410309.3148950608,0.0
1,121685.61789450202,4028164.6989355795,1431939.7823055813,0.0
1,121685.61789450202,4036818.7819910133,1452159.5842367793,0.0
1,121685.61789450202,4045434.3126501944,1432041.3510577248,0.0
1,196631.3498831378,3979199.890533533,1452363.873570899,0.0
1,196631.3498831378,3987622.677256742,1471923.2731112754,0.0
1,196631.3498831378,3996008.341937227,1491482.6726516513,0.0
1,196631.3498831378,4004356.7608348452,1511042.0721920272,0.0
1,196631.3498831378,4012667.8097969894,1530582.1047142223,0.0
1,196631.3498831378,4020941.4288139315,1549818.0506220702,0.0
1,196631.3498831378,4029178.5067412383,1565225.691207718,0.0
1,251378.3565826349,3982644.6760935197,1585163.4788196222,0.0
1,251378.3565826349,3990636.280084434,1603630.9866249193,0.0
1,251378.3565826349,3998592.9643959645,1621443.5797244546,0.0
1,251378.3565826349,4006516.795678203,1638820.8812936912,0.0
1,251378.3565826349,4014409.1153928186,1655856.6130353094,0.0
1,251378.3565826349,4022270.9570673434,1516876.7855933895,0.0
1,251378.3565826349,4030622.270972257,1533785.533141166,0.0
1,251378.3565826349,4038945.0600983608,1550694.280688943,0.0
1,251378.3565826349,4047239.2293630596,1567603.0282367205,0.0
1,251378.3565826349,4055504.683366814,1584511.7757844976,0.0
1,251378.3565826349,4063741.326392089,1601420.5233322745,0.0
1,251378.3565826349,4071949.0624022884,1618329.270880051,0.0
1,251378.3565826349,4080127.795040696,1635238.0184278283,0.0
1,251378.3565826349,4088277.427629406,1652029.6666576238,0.0
1,260005.17141331272,4087771.438668634,1668503.0978216245,0.0
1,260005.17141331272,4095835.666471458,1684867.6629177935,0.0
1,291272.3308122659,4072605.06708435,1700483.3189388842,0.0
1,291272.3308122659,4080512.1395781683,1715391.0012286422,0.0
1,291272.3308122659,4088395.876706001,1730265.8565376962,0.0
1,291272.3308122659,4096256.3101065625,1745140.7118467502,0.0
1,291272.3308122659,4104093.3621007614,1760015.5671558043,0.0
1,291272.3308122659,4111906.954750579,1774890.422464858,0.0
1,291272.3308122659,4119697.0098581966,1789765.2777739123,0.0
1,291272.3308122659,4127463.4489651453,1804640.133082966,0.0
1,291272.3308122659,4135206.1933514196,1819514.9883920199,0.0
