"run","Assets","Defaulted Assets","tick"
1,3832069.8595772544,0.0,0.0
1,3822967.901509987,0.0,1.0
1,3811172.418913255,0.0,2.0
1,3801602.7378401216,0.0,3.0
1,3781123.9354980714,0.0,4.0
1,3780964.96473355,0.0,5.0
1,3783950.574441693,15091.969587614569,6.0
1,3786539.905708569,15091.969587614569,7.0
1,3789129.236975446,15091.969587614569,8.0
1,3781031.723660489,15091.969587614569,9.0
1,3783155.4923675833,15091.969587614569,10.0
1,3785279.2610746766,15091.969587614569,11.0
1,3787403.0297817704,15091.969587614569,12.0
1,3789526.7984888637,15091.969587614569,13.0
1,3778243.642462819,15091.969587614569,14.0
1,3747670.3188803755,15091.969587614569,15.0
1,3749886.1124353996,15091.969587614569,16.0
1,3752045.695331125,15091.969587614569,17.0
1,3754205.27822685,15091.969587614569,18.0
1,3750483.8139558653,15091.969587614569,19.0
1,3746741.973626929,15091.969587614569,20.0
1,3750073.642315367,15091.969587614569,21.0
1,3753405.3110038056,15091.969587614569,22.0
1,3756736.9796922444,15091.969587614569,23.0
1,3734985.4970546635,15091.969587614569,24.0
1,3668910.7511943122,15091.969587614569,25.0
1,3481677.738643346,15091.969587614569,26.0
1,3486984.324399102,15091.969587614569,27.0
1,3403140.823665439,15091.969587614569,28.0
1,3407804.5833420004,19169.243981083695,29.0
1,3412007.380837745,19169.243981083695,30.0
1,3333043.600953882,19169.243981083695,31.0
1,3337652.2061069855,39320.441570092175,32.0
1,3263134.5974996216,39320.441570092175,33.0
1,3267775.557796523,39320.441570092175,34.0
1,3076137.6727946904,39320.441570092175,35.0
1,3081441.997714616,39320.441570092175,36.0
1,3086746.322634542,39320.441570092175,37.0
1,3092050.6475544674,39320.441570092175,38.0
1,3097354.9724743934,39320.441570092175,39.0
1,3102659.29739432,39320.441570092175,40.0
1,3107963.6223142454,39320.441570092175,41.0
1,3042695.464296301,39320.441570092175,42.0
1,3048334.21452006,39320.441570092175,43.0
1,2941701.824125635,39320.441570092175,44.0
1,2947669.7399914227,39320.441570092175,45.0
1,2838616.022821249,39320.441570092175,46.0
1,2844959.2102998015,39320.441570092175,47.0
1,2851302.397778353,39320.441570092175,48.0
1,2857645.5852569053,39320.441570092175,49.0
1,2863831.8852379317,39320.441570092175,50.0
1,2869788.504724108,39320.441570092175,51.0
1,2875745.124210285,39320.441570092175,52.0
1,2881701.7436964614,39320.441570092175,53.0
1,2887658.363182638,39320.441570092175,54.0
1,2893614.9826688142,39320.441570092175,55.0
1,2899571.60215499,39320.441570092175,56.0
1,2905456.8194416645,39320.441570092175,57.0
1,2836267.1850852747,39320.441570092175,58.0
1,2842809.9009544943,39320.441570092175,59.0
1,2849352.6168237138,39320.441570092175,60.0
1,2855895.3326929333,118437.06420055934,61.0
1,2862032.2409047936,118437.06420055934,62.0
1,2833637.686233618,118437.06420055934,63.0
1,2840812.0721921655,118437.06420055934,64.0
1,2607164.8363761925,118437.06420055934,65.0
1,2614351.235356161,118437.06420055934,66.0
1,2621537.6343361293,118437.06420055934,67.0
1,2628724.033316097,118437.06420055934,68.0
1,2635910.432296065,118437.06420055934,69.0
1,2643096.8312760335,118437.06420055934,70.0
1,2650283.230256002,118437.06420055934,71.0
1,2657469.6292359694,118437.06420055934,72.0
1,2635917.872014269,118437.06420055934,73.0
1,2644129.106244613,118437.06420055934,74.0
1,2652340.340474956,118437.06420055934,75.0
1,2660551.5747053,118437.06420055934,76.0
1,2668762.808935643,118437.06420055934,77.0
1,2598277.7980347024,118437.06420055934,78.0
1,2606811.0303987204,118437.06420055934,79.0
1,2615189.827898259,118437.06420055934,80.0
1,2623568.6253977977,118437.06420055934,81.0
1,2631947.422897337,118437.06420055934,82.0
1,2640326.2203968763,118437.06420055934,83.0
1,2648705.017896415,118437.06420055934,84.0
1,2433715.8580186153,118437.06420055934,85.0
1,2442429.0808219872,118437.06420055934,86.0
1,2274545.16054129,118437.06420055934,87.0
1,2284295.8610913497,118437.06420055934,88.0
1,2294046.5616414095,118437.06420055934,89.0
1,2216433.5469849193,118437.06420055934,90.0
1,2227039.569180638,118437.06420055934,91.0
1,2237645.591376357,118437.06420055934,92.0
1,2248251.6135720755,118437.06420055934,93.0
1,2258857.635767794,118437.06420055934,94.0
1,2269463.657963513,118437.06420055934,95.0
1,2280069.6801592316,118437.06420055934,96.0
1,2290675.7023549504,124002.24513959399,97.0
1,2300256.8893002938,124002.24513959399,98.0
1,2309151.90186218,124002.24513959399,99.0
1,2317695.6110608354,124002.24513959399,100.0
1,2326239.320259491,124002.24513959399,101.0
1,2202218.9711549147,124002.24513959399,102.0
1,2211431.716566831,124002.24513959399,103.0
1,2220644.461978747,124002.24513959399,104.0
1,2229857.207390663,124002.24513959399,105.0
