run,TotalPercentChange,,,
1,0,,,
1,0.430810016,,,
1,-0.470590606,,,
1,0.938549024,,,
1,-0.266354025,,,
1,0.255867927,,,
1,0.043660068,,,
1,1.208061519,,,
1,-0.110810148,,,
1,-1.39118042,,,
1,1.790994627,,,
1,1.842599678,,,
1,-1.924003167,,,
1,-0.578145508,,,
1,-0.639901395,,,
1,0.175136684,,,
1,3.102908115,,,
1,-2.238485755,,,
1,0.073000118,,,
1,-0.273343967,,,
1,0.774331083,,,
1,-0.211081081,,,
1,-0.194086738,,,
1,-1.754959123,,,
1,1.762992086,,,
1,-0.299329315,,,
1,-0.803050521,,,
1,0.210707943,,,
1,0.208621932,,,
1,1.964935132,,,
1,-1.516489228,,,
1,0.209492541,,,
1,0.823810587,,,
1,1.208113353,,,
1,-2.283764772,,,
1,3.502956496,,,
1,-3.020011824,,,
1,-0.062861516,,,
1,0.205217234,,,
1,0.203228599,,,
1,3.693135198,,,
1,-1.641048518,,,
1,0.281766209,,,
1,0.490085936,,,
1,-4.48784956,,,
1,1.826435193,,,
1,-1.359060699,,,
1,1.640646364,,,
1,-1.414105482,,,
1,0.215331593,,,
1,0.213509605,,,
1,5.617688393,,,
1,-3.642729251,,,
1,-1.09149505,,,
1,-2.358000342,,,
1,0.218482338,,,
1,0.216699786,,,
1,0.214947647,,,
1,0.213272475,,,
1,0.211632636,,,
1,1.375052475,,,
1,3.971554241,,,
1,-2.226156929,,,
1,-2.139883415,,,
1,1.403848284,,,
1,4.997763734,,,
1,-5.474257205,,,
1,-0.712634036,,,
1,0.209379049,,,
1,2.656961687,,,
1,-0.896016689,,,
1,-1.08490616,,,
1,0.209264678,,,
1,0.20738298,,,
1,0.205537408,,,
1,0.203742732,,,
1,-0.475770115,,,
1,2.286325417,,,
1,-3.200643259,,,
1,1.806574884,,,
1,0.310486422,,,
1,0.103495601,,,
1,2.185327474,,,
1,-0.886390593,,,
1,3.998438575,,,
1,-4.167395155,,,
1,-1.635208395,,,
1,3.770932973,,,
1,1.899715716,,,
1,-2.573989577,,,
1,-2.093127573,,,
1,2.305729288,,,
1,-1.816083735,,,
1,0.662287151,,,
1,-0.219797392,,,
1,2.099484425,,,
1,-1.630715652,,,
1,0.214584433,,,
1,4.583070875,,,
1,-2.559809766,,,
1,-2.241743939,,,
1,0.209513922,,,
1,0.207990095,,,
1,6.59405094,,,
1,-7.077835772,,,
1,0.201867784,,,
1,-0.325236679,,,
1,0.198234393,,,
1,0.196846979,,,
1,4.368875921,,,
1,-3.806672187,,,
1,0.198109917,,,
1,0.196734613,,,
1,0.19538866,,,
1,4.942452333,,,
1,-2.868127483,,,
1,-2.381954931,,,
1,0.193714801,,,
1,0.19239533,,,
1,0.191083698,,,
1,14.83655655,,,
1,-12.57294592,,,
1,0.201141764,,,
1,-0.147970576,,,
1,0.197718332,,,
1,0.196243931,,,
1,2.85959426,,,
1,-2.402166983,,,
1,0.192102607,,,
1,0.190775656,,,
1,-0.580489001,,,
1,-4.051581688,,,
1,-2.103766916,,,
1,0.184928314,,,
1,0.183634189,,,
1,0.182407512,,,
1,0.181185121,,,
1,0.179965811,,,
1,0.178749528,,,
1,0.177536217,,,
1,3.744634736,,,
1,0.6171859,,,
1,-3.692338726,,,
1,0.17672433,,,
1,0.175464685,,,
1,0.17420797,,,
1,5.112307542,,,
1,-4.535161619,,,
1,0.170454853,,,
1,0.169209305,,,
1,2.813213028,,,
1,-2.409058087,,,
1,0.166790469,,,
1,2.810819162,,,
1,-2.411585776,,,
1,0.164227161,,,
1,-2.376881046,,,
1,13.3919363,,,
1,-11.52258247,,,
1,0.163890796,,,
1,0.162522881,,,
1,0.161157544,,,
1,0.15980978,,,
1,8.024290212,,,
1,-7.135066695,,,
1,0.155826275,,,
1,0.154502973,,,
1,0.153181838,,,
1,5.755701983,,,
1,-5.155927128,,,
1,0.149230846,,,
1,0.14791779,,,
1,0.146617269,,,
1,0.145357182,,,
1,0.144098804,,,
1,0.142872531,,,
1,3.835731543,,,
1,-3.412767051,,,
1,2.79377013,,,
1,-2.428684198,,,
1,3.98970367,,,
1,-3.553055078,,,
1,0.146056155,,,
1,15.70045014,,,
1,-14.67722739,,,
1,0.167085766,,,
1,9.891605765,,,
1,-8.694858026,,,
1,4.324091308,,,
1,-3.824507965,,,
1,0.164941988,,,
1,0.163702674,,,
1,0.162538855,,,
1,2.806623911,,,
1,-2.4161544,,,
1,0.159715337,,,
1,0.158510705,,,
1,4.587966265,,,
1,-4.086444712,,,
1,0.155144066,,,
1,0.154136783,,,
1,0.153159763,,,
1,4.856016933,,,
1,7.63944573,,,
1,-10.98187512,,,
1,-5.33331271,,,
1,2.41907798,,,
1,7.418323486,,,
1,-9.024036643,,,
1,0.157299512,,,
1,0.1562493,,,
1,0.155200954,,,
1,0.154154434,,,
1,0.153109702,,,
1,0.15206672,,,
1,2.796272066,,,
1,-2.426941019,,,
1,0.149046579,,,
1,0.14797801,,,
1,0.146948006,,,
1,6.359580139,,,
1,-5.689343478,,,
1,0.159731758,,,
1,0.158754246,,,
1,7.41302888,,,
1,-8.195775951,,,
1,0.153018574,,,
1,0.152097279,,,
1,0.151346004,,,
1,0.150621387,,,
1,0.149898048,,,
1,0.149179598,,,
1,9.874289179,,,
1,-10.32607724,,,
1,0.144132378,,,
1,0.143560991,,,
1,0.142990555,,,
1,0.142421057,,,
1,5.21058725,,,
1,0.893483997,,,
3,0,,,
3,0.148701875,,,
3,0.508262586,,,
