"Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
0.0,1233413.760603112,1202859.1103799536,0.0
0.0,1233515.609437189,1204748.180335322,0.0
0.0,1233611.5008675286,1206637.2502906902,0.0
0.0,1233701.4150361181,1196577.9445262724,0.0
0.0,1233825.1599378174,1195825.670814646,0.0
0.0,1233951.8249015615,1199310.9916566906,0.0
0.0,1234067.2943457111,1202603.1369917914,0.0
0.0,1234172.174870224,1205479.684746813,0.0
0.0,1234267.8165039688,1208069.6758482384,0.0
0.0,1234355.1436394877,1210322.7943491156,0.0
0.0,1234435.2514704557,1205521.4912796787,0.0
0.0,1234531.6306710916,1194663.7016097768,0.0
0.0,1234664.5237679628,1197704.2245082585,0.0
0.0,1234787.7247654952,1200124.9784705502,0.0
0.0,1234903.2672531449,1155679.2737626631,0.0
0.0,1235167.3472314465,1158039.6445900928,0.0
0.0,1235424.4395735844,1160400.0154175223,0.0
0.0,1235674.520987438,1162760.3862449515,0.0
0.0,1235917.5681032464,1136662.4720317223,0.0
0.0,1236248.4184234848,1127598.9703001836,0.0
0.0,1236610.5832505624,1088817.8826561407,0.0
0.0,1237103.2255858772,1059498.0924890542,0.0
0.0,1237695.2426962,1062419.9731460926,0.0
0.0,1238279.4935947005,1065303.9510883584,0.0
0.0,1238856.0787363881,981663.8217985193,0.0
0.0,1239713.3862595144,961376.6662921953,0.0
0.0,1240641.1753260724,959236.8621832177,0.0
0.0,1241579.1897032151,963619.1076104497,0.0
0.0,1242505.7233101912,968001.3530376818,0.0
0.0,1243420.7378777661,972115.2685762092,0.0
0.0,1244325.0894421048,970614.6640852112,0.0
0.0,1245237.4575266277,874943.6341774599,0.0
0.0,1246471.770271125,764844.8876897246,0.0
0.0,1248077.193213063,752697.8232821956,0.0
0.0,1249728.4577794995,758159.5166678573,0.0
0.0,1251367.0209165383,763368.0709607798,0.0
0.0,1252993.6840830576,752941.1288346995,0.0
0.0,1254660.5259338855,758417.808773451,0.0
51326.44782502835,1204988.220499392,763894.4887122025,0.0
51326.44782502835,1206458.5329386827,768794.6793990415,0.0
51326.44782502835,1207917.4124504812,721863.5400667749,0.0
51326.44782502835,1209537.592025094,726751.9830350459,0.0
51326.44782502835,1211146.8773883942,601212.2484344257,0.0
51326.44782502835,1213179.9928182405,606347.5198021521,0.0
167551.03106809861,1098978.184485224,611482.7911698786,0.0
167551.03106809861,1100603.1691296087,616335.4611741069,0.0
167551.03106809861,1102217.394822794,621188.1311783353,0.0
167551.03106809861,1103820.8257016088,512764.0305112788,0.0
167551.03106809861,1105791.01501891,518146.0030883736,0.0
167551.03106809861,1107749.831725345,475206.8272521549,0.0
167551.03106809861,1109858.3084069223,481135.39820439374,0.0
167551.03106809861,1111954.051440931,394444.8357337745,0.0
167551.03106809861,1114345.7488266216,400829.085758455,0.0
167551.03106809861,1116724.1377035154,300535.99450696266,0.0
167551.03106809861,1119444.7648475042,307050.6592232546,0.0
167551.03106809861,1122152.745199585,313464.05391588184,0.0
304927.12156598846,987472.2836726409,319877.44860850903,0.0
304927.12156598846,989697.5997895214,325491.312482911,0.0
304927.12156598846,991911.6207472102,291838.6682159959,0.0
412126.87684664543,887045.4419749908,298180.40935607476,0.0
442475.73857885844,858659.4636848407,304252.90560127655,0.0
442475.73857885844,860507.4855451195,309835.99867900525,0.0
442475.73857885844,862343.0571680065,315147.84259776527,0.0
442475.73857885844,864167.0412165741,320459.6865165252,0.0
442475.73857885844,865979.3990655742,325771.5304352852,0.0
442475.73857885844,867780.0919610087,331083.37435404514,0.0
442475.73857885844,869569.0810196985,312405.1896151087,0.0
442475.73857885844,871426.2939910472,318415.16622987506,0.0
442475.73857885844,873269.664416918,324425.14284464135,0.0
442475.73857885844,875099.1461554923,330435.11945940764,0.0
442475.73857885844,876914.6929111459,336445.0960741739,0.0
442475.73857885844,878716.2582339358,342443.3990726386,0.0
442475.73857885844,880503.8344311402,348329.42736882647,0.0
442475.73857885844,882277.749121348,354215.4556650142,0.0
442475.73857885844,884037.9567662025,328826.556540765,0.0
442475.73857885844,885888.6614336208,335415.80298693513,0.0
442475.73857885844,887723.5709617764,252079.72355159486,0.0
442475.73857885844,889842.3837864771,260069.0839364768,0.0
442475.73857885844,891941.6281193104,268058.44432135875,0.0
442475.73857885844,894021.2387319704,276047.80470624065,0.0
442475.73857885844,896081.1501787229,284037.1650911226,0.0
442475.73857885844,898121.2967956816,292026.5254760045,0.0
442475.73857885844,900141.6127000806,300015.8858608865,0.0
442475.73857885844,902142.0317895449,308005.24624576845,0.0
442475.73857885844,904122.4877413574,315994.60663065035,0.0
442475.73857885844,906082.9140117263,323983.9670155323,0.0
442475.73857885844,908023.2438350471,331973.3274004143,0.0
442475.73857885844,909943.4102231626,339423.01410690835,0.0
442475.73857885844,911845.1448768836,346846.15723046113,0.0
451714.261360037,904489.9520545262,354269.3003540139,0.0
451714.261360037,906324.0208935281,321198.92048251303,0.0
451714.261360037,908274.4378948982,328878.8877131923,0.0
451714.261360037,910205.7563955039,336558.8549438716,0.0
451714.261360037,912117.9127336761,344238.8221745509,0.0
451714.261360037,914010.8430355398,351918.7894052302,0.0
