"Assets","Defaulted Assets","tick"
1244823.2739877894,0.0,0.0
1228842.9753730348,0.0,1.0
1224934.0485570957,0.0,2.0
1218724.2618625276,0.0,3.0
1221279.543952143,0.0,4.0
1207487.1395725918,0.0,5.0
1211041.7022195202,0.0,6.0
1205372.1880531444,0.0,7.0
1209576.641589119,0.0,8.0
1213781.0951250938,0.0,9.0
1192992.2663462684,0.0,10.0
1195798.9800714678,0.0,11.0
1199606.0122148723,0.0,12.0
1203379.139882903,0.0,13.0
1179974.4495183749,0.0,14.0
1183509.0298788275,0.0,15.0
1133866.6578990836,0.0,16.0
1137890.8979640366,0.0,17.0
1100267.8887319327,0.0,18.0
1095586.2022947986,0.0,19.0
1099229.7004787826,0.0,20.0
1062438.398840909,0.0,21.0
967654.5598820031,0.0,22.0
971610.4508365721,0.0,23.0
975566.3417911408,0.0,24.0
977726.1449853615,0.0,25.0
931192.4279122232,0.0,26.0
894046.1943096244,0.0,27.0
898448.9097626165,0.0,28.0
858455.7492388075,0.0,29.0
721349.5367453683,0.0,30.0
725789.4713534637,0.0,31.0
730137.6605273812,0.0,32.0
688110.0345352993,0.0,33.0
692819.5345063787,0.0,34.0
697529.0344774583,0.0,35.0
702238.5344485377,37910.21182906546,36.0
652894.3443776525,37910.21182906546,37.0
657606.6149053352,37910.21182906546,38.0
633090.4634533401,37910.21182906546,39.0
638161.9695507592,37910.21182906546,40.0
643233.4756481784,37910.21182906546,41.0
648304.9817455974,37910.21182906546,42.0
653376.4878430166,82425.39526461971,43.0
596002.8865715916,110479.17862497762,44.0
600958.1467841407,110479.17862497762,45.0
570568.3899919514,110479.17862497762,46.0
563180.5379651048,110479.17862497762,47.0
527646.9697632486,110479.17862497762,48.0
533264.7605746859,110479.17862497762,49.0
420273.67255535664,110479.17862497762,50.0
426086.88871568046,110479.17862497762,51.0
431900.10487600433,110479.17862497762,52.0
437713.3210363282,110479.17862497762,53.0
443289.03896222066,110479.17862497762,54.0
448851.05884987745,110479.17862497762,55.0
454413.07873753423,110479.17862497762,56.0
459975.098625191,110479.17862497762,57.0
465537.1185128478,150161.51355016098,58.0
470843.3091719686,150161.51355016098,59.0
476149.4998310894,150161.51355016098,60.0
481455.6904902102,150161.51355016098,61.0
