"Assets","Defaulted Assets","tick"
1222639.4055526336,0.0,0.0
1188740.2926176996,0.0,1.0
1170974.834107218,0.0,2.0
1140102.8557329031,0.0,3.0
1145930.4205508723,0.0,4.0
1087096.274271408,0.0,5.0
1056538.3567018586,0.0,6.0
1007662.082467093,0.0,7.0
953850.8339548724,8020.463070843718,8.0
932564.0231404494,8020.463070843718,9.0
908602.5072235933,8020.463070843718,10.0
917791.6182049362,8020.463070843718,11.0
917670.8502132297,8020.463070843718,12.0
897193.6537792357,8020.463070843718,13.0
906382.0257345899,43483.253482773915,14.0
913504.9883437845,43483.253482773915,15.0
892854.9815743038,43483.253482773915,16.0
867881.0281684245,43483.253482773915,17.0
870117.1822869538,43483.253482773915,18.0
784007.4245169192,43483.253482773915,19.0
640665.4195504704,53089.70770757057,20.0
581417.5324370525,62363.65883727137,21.0
592469.7697425415,62363.65883727137,22.0
545741.2223494865,62363.65883727137,23.0
520491.66807658476,71024.02090849903,24.0
488934.9039358531,71024.02090849903,25.0
495839.11164570285,71024.02090849903,26.0
392450.4295363337,71024.02090849903,27.0
356507.40475048387,89239.56404774795,28.0
369158.22315881617,94647.8450974914,29.0
370686.94373951305,115277.9541101273,30.0
382411.3805707796,115277.9541101273,31.0
259031.24712389606,115277.9541101273,32.0
271044.3464872933,115277.9541101273,33.0
283057.44585069054,115277.9541101273,34.0
272533.09547448886,163855.08229430573,35.0
264736.47233578085,163855.08229430573,36.0
277689.0380788625,163855.08229430573,37.0
255772.8704510534,163855.08229430573,38.0
269206.22510795883,222356.12263574725,39.0
281991.6312645261,222356.12263574725,40.0
294667.68347824155,222356.12263574725,41.0
300583.1951372115,222356.12263574725,42.0
313067.94657303684,222356.12263574725,43.0
284608.7268855787,222356.12263574725,44.0
282359.30783506995,222356.12263574725,45.0
296534.2917062205,222356.12263574725,46.0
310471.9075874093,222356.12263574725,47.0
324358.22892642906,222356.12263574725,48.0
338244.550265449,253147.18937813607,49.0
351339.6972242064,253147.18937813607,50.0
332260.1824808196,253147.18937813607,51.0
288988.08259926806,253147.18937813607,52.0
287383.440027782,253147.18937813607,53.0
300087.5270034963,253147.18937813607,54.0
312074.02116435603,253147.18937813607,55.0
323806.9718816323,255077.78343212255,56.0
283600.22058888857,264794.96543616126,57.0
294503.4614448934,264794.96543616126,58.0
305234.4513523773,287259.9822478347,59.0
315616.62270872155,287259.9822478347,60.0
325412.23993505875,287259.9822478347,61.0
231930.14075108,287259.9822478347,62.0
242214.9702465062,287259.9822478347,63.0
252499.7997419323,287259.9822478347,64.0
262784.62923735846,287531.0335341438,65.0
272273.52562668105,287531.0335341438,66.0
281762.42201600363,342382.98199191655,67.0
291071.4511989447,342382.98199191655,68.0
300380.48038188566,342382.98199191655,69.0
309689.5095648267,342382.98199191655,70.0
318998.5387477677,342382.98199191655,71.0
328307.5679307087,342382.98199191655,72.0
337616.5971136497,342382.98199191655,73.0
346129.8494608293,342382.98199191655,74.0
354426.5652546315,342382.98199191655,75.0
362723.2810484337,342382.98199191655,76.0
326918.9511882043,356938.03811597946,77.0
334055.2496083656,356938.03811597946,78.0
340222.49828328955,356938.03811597946,79.0
