"Assets","Defaulted Assets","tick"
1255109.571719107,0.0,0.0
1241169.2367842556,0.0,1.0
1212640.7183820878,0.0,2.0
1202614.8883467955,0.0,3.0
1173250.965579539,0.0,4.0
1179191.9070998158,0.0,5.0
1159706.0165722982,0.0,6.0
1127294.6958163995,0.0,7.0
1115735.559959962,0.0,8.0
991759.0708716456,0.0,9.0
917319.1231498332,0.0,10.0
727856.5097488647,0.0,11.0
651093.530966511,0.0,12.0
610860.0524281318,0.0,13.0
624081.2694483747,0.0,14.0
636760.6496850974,0.0,15.0
630002.3996792827,9140.324342153603,16.0
641126.3612358284,9290.055558494596,17.0
650911.0370504663,9290.055558494596,18.0
627324.4888605356,9290.055558494596,19.0
609847.1202313645,27860.812702136707,20.0
618251.3153339075,27860.812702136707,21.0
626416.1648009674,27860.812702136707,22.0
494977.6522210526,27860.812702136707,23.0
483785.02149920457,27860.812702136707,24.0
436365.22524465364,27860.812702136707,25.0
446568.176410953,27860.812702136707,26.0
456771.1275772524,50126.71258604578,27.0
463790.0489933666,50126.71258604578,28.0
473764.1934480604,50126.71258604578,29.0
371503.7303431107,79840.25162837113,30.0
381702.3599326911,79840.25162837113,31.0
391285.21278832236,79840.25162837113,32.0
362311.3914484621,79840.25162837113,33.0
371269.9847502594,79840.25162837113,34.0
379874.94434022723,79840.25162837113,35.0
349737.68099491805,79840.25162837113,36.0
358501.33949891676,79840.25162837113,37.0
367110.0143132708,79840.25162837113,38.0
331682.29709074635,141727.30499790265,39.0
340550.78540403524,141727.30499790265,40.0
349419.2737173242,169782.26677220754,41.0
358037.31673225586,169782.26677220754,42.0
366655.3597471875,298139.77864133206,43.0
374973.7960411061,298139.77864133206,44.0
353699.336386313,405157.4851185346,45.0
361461.1729800936,434691.7581573469,46.0
368446.90596635384,434691.7581573469,47.0
375409.1047484916,547309.2437752078,48.0
381765.37107798987,547309.2437752078,49.0
388121.6374074882,547309.2437752078,50.0
394477.90373698645,547309.2437752078,51.0
349215.92713626137,547309.2437752078,52.0
357468.15306266356,551882.6749067553,53.0
364885.1919485878,551882.6749067553,54.0
372302.23083451204,551882.6749067553,55.0
379719.26972043625,551882.6749067553,56.0
387136.30860636046,581280.8325508789,57.0
383407.7898325105,581280.8325508789,58.0
391096.5824183285,581280.8325508789,59.0
398785.3750041466,581280.8325508789,60.0
406474.1675899646,581280.8325508789,61.0
409974.3481784756,581280.8325508789,62.0
417150.6741302353,581280.8325508789,63.0
386996.00408960547,581280.8325508789,64.0
396494.5121121833,581280.8325508789,65.0
379714.8077634103,645376.1830902181,66.0
387840.60322311474,645376.1830902181,67.0
395465.3769988525,645376.1830902181,68.0
402802.09289761697,675179.3891626042,69.0
371851.79347487155,675179.3891626042,70.0
378834.09371792054,675179.3891626042,71.0
385816.39396096946,675179.3891626042,72.0
392678.79948963004,675179.3891626042,73.0
398922.2620032195,675179.3891626042,74.0
405165.72451680904,675179.3891626042,75.0
411409.18703039846,675179.3891626042,76.0
417652.6495439879,675179.3891626042,77.0
423896.11205757735,675179.3891626042,78.0
391653.5182093524,675179.3891626042,79.0
397598.7998931204,675179.3891626042,80.0
403300.49391540984,675179.3891626042,81.0
408995.33030082064,679728.6516342536,82.0
389547.15026242577,679728.6516342536,83.0
394981.59864911134,679728.6516342536,84.0
400416.0470357969,679728.6516342536,85.0
405850.4954224825,701954.4612787834,86.0
410675.3649022818,701954.4612787834,87.0
414999.59938700387,701954.4612787834,88.0
419305.53631847625,701954.4612787834,89.0
423611.4732499486,701954.4612787834,90.0
427917.410181421,701954.4612787834,91.0
432223.34711289336,701954.4612787834,92.0
436529.2840443657,701954.4612787834,93.0
440835.220975838,701954.4612787834,94.0
427916.58439935336,701954.4612787834,95.0
432842.6313596894,701954.4612787834,96.0
437479.1898912088,701954.4612787834,97.0
441445.0840135383,701954.4612787834,98.0
444989.14986512135,711139.6051882696,99.0
447994.66774942854,711139.6051882696,100.0
451000.18563373573,711139.6051882696,101.0
454005.7035180429,711139.6051882696,102.0
436268.78392902866,849490.3740557081,103.0
439399.7654691157,849490.3740557081,104.0
404658.5006462096,849490.3740557081,105.0
408381.6459435726,849490.3740557081,106.0
412104.7912409357,849490.3740557081,107.0
415827.93653829873,849490.3740557081,108.0
419551.0818356618,852473.6591712624,109.0
423115.88226815383,852473.6591712624,110.0
426680.6827006459,852473.6591712624,111.0
430245.4831331379,852473.6591712624,112.0
433810.28356563,852473.6591712624,113.0
437375.083998122,886096.2513143559,114.0
440347.72067333804,886096.2513143559,115.0
443320.35734855407,886096.2513143559,116.0
446292.9940237701,886096.2513143559,117.0
449265.6306989861,886096.2513143559,118.0
452238.26737420214,886096.2513143559,119.0
455210.9040494183,886096.2513143559,120.0
458183.5407246343,886096.2513143559,121.0
460791.3680102794,886096.2513143559,122.0
463343.50639709365,886096.2513143559,123.0
465895.6447839079,886096.2513143559,124.0
467949.6407661203,903104.9798839563,125.0
469419.6159747273,903104.9798839563,126.0
470889.59118333436,903104.9798839563,127.0
472359.5663919414,903104.9798839563,128.0
473829.54160054843,903104.9798839563,129.0
475299.51680915547,903104.9798839563,130.0
476769.4920177625,903104.9798839563,131.0
478239.46722636954,903104.9798839563,132.0
479709.4424349766,903104.9798839563,133.0
481179.4176435836,903104.9798839563,134.0
482649.39285219065,903104.9798839563,135.0
484119.3680607977,903104.9798839563,136.0
485589.3432694047,903104.9798839563,137.0
487059.31847801176,903104.9798839563,138.0
488529.2936866188,903104.9798839563,139.0
489999.26889522583,903104.9798839563,140.0
491469.24410383287,903104.9798839563,141.0
492939.2193124399,903104.9798839563,142.0
453574.94314160116,903104.9798839563,143.0
455622.173223731,903104.9798839563,144.0
457669.4033058608,903104.9798839563,145.0
459331.15266189177,903104.9798839563,146.0
460851.44957175106,903104.9798839563,147.0
462371.74648161023,903104.9798839563,148.0
463892.0433914694,903104.9798839563,149.0
465412.3403013287,903104.9798839563,150.0
466932.63721118786,903104.9798839563,151.0
468452.93412104715,903104.9798839563,152.0
444767.0149060101,903104.9798839563,153.0
446931.048318511,903104.9798839563,154.0
449095.08173101174,903104.9798839563,155.0
451259.1151435126,903104.9798839563,156.0
453423.14855601336,903104.9798839563,157.0
455587.1819685142,903104.9798839563,158.0
369463.2618282022,903104.9798839563,159.0
372565.91549161845,903104.9798839563,160.0
375185.7360281197,903104.9798839563,161.0
377805.5565646208,908513.6424731581,162.0
380217.52572167513,908513.6424731581,163.0
382629.49487872934,908513.6424731581,164.0
384842.35500079894,908513.6424731581,165.0
387025.86344413925,908513.6424731581,166.0
389209.3718874797,908513.6424731581,167.0
391392.8803308201,908513.6424731581,168.0
393576.3887741604,908513.6424731581,169.0
395759.89721750084,908513.6424731581,170.0
397943.40566084126,908513.6424731581,171.0
400126.9141041816,908513.6424731581,172.0
402310.422547522,908513.6424731581,173.0
404493.9309908624,908513.6424731581,174.0
406677.43943420274,908513.6424731581,175.0
408860.94787754316,908513.6424731581,176.0
411044.4563208836,908513.6424731581,177.0
413227.9647642239,908513.6424731581,178.0
415411.4732075643,908513.6424731581,179.0
417594.98165090464,908513.6424731581,180.0
419778.49009424506,908513.6424731581,181.0
421961.9985375855,908513.6424731581,182.0
424145.5069809258,908513.6424731581,183.0
