"Assets","Defaulted Assets","tick"
1197959.2854366445,0.0,0.0
1192135.409526127,0.0,1.0
1171668.3393042926,0.0,2.0
1174498.6798291323,0.0,3.0
1168328.4449888465,0.0,4.0
1170752.0550664118,0.0,5.0
1173175.6651439767,0.0,6.0
1175599.2752215418,0.0,7.0
1175157.1731174155,0.0,8.0
1174760.5840237872,0.0,9.0
1154300.3790415716,0.0,10.0
1137420.0503169931,0.0,11.0
1140173.719875491,0.0,12.0
1142927.389433989,0.0,13.0
1132861.4190765982,0.0,14.0
1100975.5005384625,0.0,15.0
1104097.3870862718,0.0,16.0
923867.8987886194,0.0,17.0
890720.4370467666,0.0,18.0
895611.741136451,0.0,19.0
846523.3001102912,0.0,20.0
826225.3288207152,0.0,21.0
831569.6530461018,0.0,22.0
788498.8853339213,0.0,23.0
736953.2526603912,0.0,24.0
743542.6636452362,0.0,25.0
750046.0338796881,0.0,26.0
724201.9884108164,0.0,27.0
722118.2577716095,0.0,28.0
729343.8036630049,0.0,29.0
676516.0532778222,0.0,30.0
683334.6468042294,0.0,31.0
659271.9445245956,0.0,32.0
666572.5885640068,0.0,33.0
606192.328042507,0.0,34.0
613404.3896538831,0.0,35.0
515839.5220612293,0.0,36.0
492608.5815575616,0.0,37.0
445118.61064184515,0.0,38.0
453314.3736430093,0.0,39.0
461510.13664417336,0.0,40.0
469705.8996453375,0.0,41.0
477901.66264650156,0.0,42.0
301752.74077880866,0.0,43.0
310153.6462680761,0.0,44.0
318554.5517573434,0.0,45.0
207412.15848513498,0.0,46.0
173291.8309216619,0.0,47.0
184016.21100811317,0.0,48.0
186947.9212309384,0.0,49.0
198249.43691581785,0.0,50.0
209185.3275612059,0.0,51.0
220035.46951983497,0.0,52.0
230885.61147846398,0.0,53.0
241735.75343709305,0.0,54.0
205600.10501990916,0.0,55.0
216813.25181029196,0.0,56.0
228026.3986006747,0.0,57.0
239239.5453910575,0.0,58.0
250383.33428043505,0.0,59.0
261080.20496901748,19774.361651821455,60.0
271295.02514459577,19774.361651821455,61.0
281509.845320174,19774.361651821455,62.0
291631.65999179374,19774.361651821455,63.0
301269.34456894384,19774.361651821455,64.0
310907.02914609393,19774.361651821455,65.0
320544.71372324397,26225.935857575343,66.0
277319.4884891996,70689.18674870938,67.0
286087.74794924847,70689.18674870938,68.0
294557.5983552179,70689.18674870938,69.0
233539.96134962363,70689.18674870938,70.0
242467.398363156,70689.18674870938,71.0
251097.4968929885,70689.18674870938,72.0
