"Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
0.0,3651849.703203645,3609928.673376406,0.0
0.0,3651989.4399697366,3613544.467410959,0.0
0.0,3652117.589878266,3586976.938373176,0.0
0.0,3652334.725383282,3558396.1536484365,0.0
0.0,3652647.853955732,3545297.668026779,0.0
0.0,3653005.6879088283,3401483.1622744114,0.0
0.0,3653844.09632761,3233217.3051392883,0.0
0.0,3655246.1856315713,3139578.7161333184,0.0
0.0,3656965.0771965645,2944684.603031843,0.0
0.0,3659339.3454437805,2958887.8648308204,0.0
0.0,3661674.18371249,2912681.4329583026,0.0
0.0,3664170.826215004,2786700.7162142964,0.0
99071.28097419583,3568024.4456074773,2607938.378649446,0.0
167382.40050329803,3502913.6129682357,2463960.7818093454,0.0
167382.40050329803,3506376.789072099,2481214.7692213645,0.0
167382.40050329803,3509793.9958049343,2389946.3923990936,0.0
194715.16027716425,3486194.0613757544,2235523.0735090803,0.0
194715.16027716425,3490362.964668644,2252847.4541324163,0.0
194715.16027716425,3494488.016370431,2270171.8347557522,0.0
194715.16027716425,3498569.0703091463,2222511.562116289,0.0
194715.16027716425,3502822.595336457,2210672.992286165,0.0
194715.16027716425,3507129.7606799575,2229168.185447352,0.0
194715.16027716425,3511389.6325974,2246921.3632004107,0.0
194715.16027716425,3515604.5268287235,2263998.060979952,0.0
194715.16027716425,3519776.5483815526,2280703.2059543026,0.0
194715.16027716425,3523906.7928563105,2297408.3509286526,0.0
194715.16027716425,3527995.1209960696,2258592.663747782,0.0
194715.16027716425,3532226.4625202306,2185762.380067319,0.0
194715.16027716425,3536714.6761284065,2203959.0101942746,0.0
194715.16027716425,3541157.195014854,2222155.64032123,0.0
194715.16027716425,3545553.8668638333,2209397.420601499,0.0
194715.16027716425,3550007.721684708,2019240.299500753,0.0
210239.38741772942,3539586.052618089,1973877.3003790367,0.0
245768.8806134567,3509275.588596492,1992746.4508529825,0.0
245768.8806134567,3514330.6857223036,2011057.163157874,0.0
245768.8806134567,3519341.597464185,1961261.9461460651,0.0
245768.8806134567,3524535.196301913,1967201.7773877399,0.0
245768.8806134567,3529726.3076982936,1987218.4382136443,0.0
245768.8806134567,3534868.000596575,1899456.5428672258,0.0
245768.8806134567,3540319.37212234,1919482.3025870176,0.0
261763.104993481,3529727.9379741,1938878.264204811,0.0
261763.104993481,3535030.770219998,1806644.613098445,0.0
261763.104993481,3540792.057410403,1826269.5052876049,0.0
261763.104993481,3546507.1325841458,1845894.3974767653,0.0
261763.104993481,3552175.8417011704,1754917.9958822108,0.0
261763.104993481,3558166.701187234,1755317.6325138991,0.0
355314.2768975596,3470625.026178733,1775954.5479348977,0.0
355314.2768975596,3476273.927772879,1795352.3790558635,0.0
355314.2768975596,3481876.999601937,1814698.7101454637,0.0
355314.2768975596,3487434.260566791,1624942.5287330926,0.0
355314.2768975596,3493642.5663395706,1644741.7683392758,0.0
355314.2768975596,3499805.5689995713,1664541.007945459,0.0
355314.2768975596,3505923.117536419,1551243.95819178,0.0
355314.2768975596,3512438.714734234,1571411.910600531,0.0
355314.2768975596,3518908.8040813464,1591579.863009282,0.0
355314.2768975596,3525333.23388492,1535304.0157724468,0.0
355314.2768975596,3531966.664611962,1555441.074819277,0.0
355314.2768975596,3538555.0832446036,1575578.1338661076,0.0
355314.2768975596,3545098.339742533,1595496.2965518436,0.0
355314.2768975596,3551597.013219835,1615218.7443718063,0.0
355314.2768975596,3558051.6074493285,1634941.1921917687,0.0
355314.2768975596,3564461.9755001864,1654663.6400117315,0.0
355314.2768975596,3570827.969951816,1674258.267247547,0.0
355314.2768975596,3577149.86896083,1647711.8138640695,0.0
355314.2768975596,3583581.329144485,1637682.356084314,0.0
355314.2768975596,3590067.6590546863,1453357.1690268,0.0
355314.2768975596,3597190.0273547797,1446120.1196793509,0.0
355314.2768975596,3604360.2603803636,1468309.6295771434,0.0
355314.2768975596,3611480.4291497082,1489971.2492962766,0.0
355314.2768975596,3618552.1264158865,1510965.8621843893,0.0
355314.2768975596,3625577.413963325,1531756.3433615821,0.0
355314.2768975596,3632556.8175319983,1552482.760577446,0.0
355314.2768975596,3639490.3977218457,1541685.2490417855,0.0
355314.2768975596,3646483.0815507798,1562856.156203487,0.0
