"Assets","Defaulted Assets","tick"
1208747.3677842142,0.0,0.0
1172283.7652976997,0.0,1.0
1163461.894898136,0.0,2.0
1160208.0314723619,0.0,3.0
1130139.4840886225,6803.904211446654,4.0
1108700.0813992957,6803.904211446654,5.0
1111820.4502106628,6803.904211446654,6.0
1088724.302511239,6803.904211446654,7.0
1095013.38149519,6803.904211446654,8.0
1100758.0017586732,6803.904211446654,9.0
1082790.7613611277,6803.904211446654,10.0
1046351.2246422967,6803.904211446654,11.0
1047211.2605002095,6803.904211446654,12.0
1053460.1975950345,6803.904211446654,13.0
930359.9282545304,9839.643517838962,14.0
872592.3383745702,9839.643517838962,15.0
705186.9655233126,56332.46560331945,16.0
699592.8064488838,56332.46560331945,17.0
592134.5941667162,56332.46560331945,18.0
590071.9903095652,56332.46560331945,19.0
579945.1980455067,56332.46560331945,20.0
590357.391702809,56332.46560331945,21.0
549372.5199515992,56332.46560331945,22.0
560376.526817716,59091.30340467834,23.0
571066.4792693238,59091.30340467834,24.0
581756.4317209315,59091.30340467834,25.0
592446.3841725393,59091.30340467834,26.0
581776.0662347614,59091.30340467834,27.0
553902.8246288297,59091.30340467834,28.0
517360.10749986046,59091.30340467834,29.0
527415.0407951055,81151.94381997484,30.0
537082.608406372,81151.94381997484,31.0
473107.2247336366,81151.94381997484,32.0
450551.1804387004,81151.94381997484,33.0
461927.50257821835,81151.94381997484,34.0
421611.03659804666,81151.94381997484,35.0
276920.35567767575,81151.94381997484,36.0
289870.43894478685,81151.94381997484,37.0
302820.5222118979,91520.0025486585,38.0
315452.66743277194,91520.0025486585,39.0
328084.812653646,91520.0025486585,40.0
288198.99397565814,91520.0025486585,41.0
294568.91245139216,91520.0025486585,42.0
308407.576458029,91520.0025486585,43.0
322246.2404646658,91520.0025486585,44.0
288173.35301364725,91520.0025486585,45.0
299685.7388642183,91520.0025486585,46.0
313431.5057952437,91520.0025486585,47.0
273204.3255528927,91520.0025486585,48.0
285684.93839913997,91520.0025486585,49.0
297849.0023108755,91520.0025486585,50.0
192980.2935401268,91520.0025486585,51.0
205781.98903743108,91520.0025486585,52.0
218583.68453473534,95671.7666378806,53.0
231017.25761837626,95671.7666378806,54.0
242721.89256902566,95671.7666378806,55.0
254044.6060779992,95671.7666378806,56.0
265367.3195869727,95671.7666378806,57.0
206828.0665592127,120101.41228988359,58.0
217452.1405157854,120101.41228988359,59.0
227603.7356614996,120101.41228988359,60.0
237755.33080721382,120101.41228988359,61.0
247906.92595292802,120101.41228988359,62.0
221918.74103999636,120101.41228988359,63.0
232744.8300920797,120101.41228988359,64.0
243016.74048481724,120101.41228988359,65.0
253204.7801774621,120101.41228988359,66.0
263162.63615569065,120101.41228988359,67.0
273120.49213391927,120101.41228988359,68.0
283078.3481121479,120101.41228988359,69.0
293036.20409037644,120101.41228988359,70.0
297965.5414088065,120101.41228988359,71.0
308556.4391419607,120101.41228988359,72.0
319147.3368751148,120101.41228988359,73.0
329738.234608269,120101.41228988359,74.0
340329.1323414232,120101.41228988359,75.0
350920.0300745773,120101.41228988359,76.0
361510.92780773144,120101.41228988359,77.0
372101.8255408856,120101.41228988359,78.0
305102.74033821956,120101.41228988359,79.0
315132.49517713627,120101.41228988359,80.0
290672.2600843315,120101.41228988359,81.0
301029.6288401231,120101.41228988359,82.0
311386.9975959149,120101.41228988359,83.0
321744.3663517065,120101.41228988359,84.0
331992.44261851127,120101.41228988359,85.0
341124.176638813,120101.41228988359,86.0
350177.7453386104,120101.41228988359,87.0
359231.3140384077,178279.76882800515,88.0
367731.71107159695,178279.76882800515,89.0
376232.10810478625,178279.76882800515,90.0
320895.7519403277,278031.05565181037,91.0
221085.94105771545,278031.05565181037,92.0
229460.1213363499,278031.05565181037,93.0
237834.3016149844,278031.05565181037,94.0
246208.48189361885,278031.05565181037,95.0
254582.6621722533,278031.05565181037,96.0
262823.2693214116,278031.05565181037,97.0
270736.35688126157,278031.05565181037,98.0
278649.4444411115,278031.05565181037,99.0
281065.3083534873,278031.05565181037,100.0
289798.1336726588,278031.05565181037,101.0
293336.2026685559,278031.05565181037,102.0
302698.15519398043,307666.44878255477,103.0
310662.391442561,307666.44878255477,104.0
318626.62769114156,307666.44878255477,105.0
326590.8639397222,307666.44878255477,106.0
334386.0164128403,307666.44878255477,107.0
341530.5149020993,325638.8978825552,108.0
348091.59720756765,325638.8978825552,109.0
354652.6795130359,325638.8978825552,110.0
360828.2247243925,325638.8978825552,111.0
366760.17982360785,325638.8978825552,112.0
372692.13492282317,325638.8978825552,113.0
378624.09002203844,325638.8978825552,114.0
384556.04512125376,325638.8978825552,115.0
303686.26624926913,325638.8978825552,116.0
310332.9336504046,325638.8978825552,117.0
316942.52463836444,325638.8978825552,118.0
322985.57535717706,325638.8978825552,119.0
329028.62607598957,374487.007449124,120.0
334569.8901276415,374487.007449124,121.0
228007.41588964817,374487.007449124,122.0
234710.31800188762,374487.007449124,123.0
241413.22011412706,374487.007449124,124.0
247793.14468833574,374487.007449124,125.0
223132.40387220058,374487.007449124,126.0
229848.36715724453,374487.007449124,127.0
236564.33044228848,374487.007449124,128.0
243280.29372733238,374487.007449124,129.0
249996.25701237633,374487.007449124,130.0
256712.22029742025,374487.007449124,131.0
263428.1835824642,401955.97596920095,132.0
269501.9584884506,401955.97596920095,133.0
275575.73339443706,401955.97596920095,134.0
281649.5083004235,401955.97596920095,135.0
287723.28320640995,449748.0172422565,136.0
293561.44054220524,449748.0172422565,137.0
299399.59787800047,449748.0172422565,138.0
305237.7552137958,449748.0172422565,139.0
256142.47608942073,449748.0172422565,140.0
224188.04535211856,449748.0172422565,141.0
231402.72198648928,449748.0172422565,142.0
238617.39862085995,449748.0172422565,143.0
245832.07525523068,548423.214174086,144.0
252529.22023437868,548423.214174086,145.0
259226.36521352673,548423.214174086,146.0
265923.5101926747,625480.8283114947,147.0
272523.81586037914,625480.8283114947,148.0
279124.1215280836,625480.8283114947,149.0
285724.42719578807,625480.8283114947,150.0
292324.7328634925,625480.8283114947,151.0
288066.6554409096,625480.8283114947,152.0
295296.08831486705,625480.8283114947,153.0
302525.5211888245,625480.8283114947,154.0
309754.95406278194,625480.8283114947,155.0
316984.3869367394,625480.8283114947,156.0
323901.9477591617,625480.8283114947,157.0
330171.0629060372,625480.8283114947,158.0
336440.17805291264,625480.8283114947,159.0
342709.2931997882,625480.8283114947,160.0
348978.40834666364,625480.8283114947,161.0
355247.52349353913,625480.8283114947,162.0
361516.6386404146,625480.8283114947,163.0
367785.75378729,625480.8283114947,164.0
373821.0554424211,625480.8283114947,165.0
379642.54249713087,625480.8283114947,166.0
385464.0295518406,625480.8283114947,167.0
391285.5166065504,625480.8283114947,168.0
397107.0036612601,625480.8283114947,169.0
402806.2477022073,625480.8283114947,170.0
407998.60755066405,625480.8283114947,171.0
413190.9673991208,625480.8283114947,172.0
418383.32724757754,657314.7798403746,173.0
423041.1258807458,657314.7798403746,174.0
427698.92451391416,657314.7798403746,175.0
