"Assets","Defaulted Assets","tick"
1279651.158797133,0.0,0.0
1254675.0484507913,0.0,1.0
1240709.943742933,0.0,2.0
1243217.7334098055,0.0,3.0
1218592.0582677939,0.0,4.0
1188202.1713471138,0.0,5.0
1160444.6783623907,0.0,6.0
1118561.091521056,0.0,7.0
1116488.5387583922,0.0,8.0
1063861.4426458124,0.0,9.0
1012231.8952143757,0.0,10.0
1001210.3011534367,0.0,11.0
981131.9335360328,4931.301356664943,12.0
865667.0574116203,19195.47621419278,13.0
850154.7887631097,21818.87866454856,14.0
775804.0431459055,27592.17201240098,15.0
670786.6364059772,27592.17201240098,16.0
673543.3904300272,27592.17201240098,17.0
630170.0203298043,47730.43573036744,18.0
624407.8128651724,47730.43573036744,19.0
613829.481636062,47730.43573036744,20.0
526916.6833848234,47730.43573036744,21.0
423251.31636469567,47730.43573036744,22.0
400874.50435613346,68874.26429926424,23.0
377804.6606853134,68874.26429926424,24.0
390202.65370822675,120719.60292661923,25.0
335447.11936731206,120719.60292661923,26.0
304968.2840240134,120719.60292661923,27.0
317315.6475158253,130010.0018844555,28.0
329466.60552082065,130010.0018844555,29.0
227198.4626129056,130010.0018844555,30.0
239257.03858492777,130010.0018844555,31.0
250856.78264097162,130010.0018844555,32.0
261987.67258125433,130010.0018844555,33.0
199446.6672434549,159296.15488999526,34.0
185016.53710576412,159296.15488999526,35.0
196520.59506894715,159296.15488999526,36.0
207718.90844820137,159296.15488999526,37.0
218092.13556156686,159296.15488999526,38.0
228145.31560329985,159296.15488999526,39.0
238198.4956450328,159296.15488999526,40.0
190481.79837946143,159296.15488999526,41.0
201147.90979392038,159296.15488999526,42.0
211814.02120837933,159296.15488999526,43.0
200174.29753614528,159296.15488999526,44.0
164930.50493027456,159296.15488999526,45.0
175998.2267858423,159296.15488999526,46.0
186762.05478051823,159296.15488999526,47.0
197148.62545209593,159296.15488999526,48.0
207535.19612367355,159296.15488999526,49.0
217921.76679525126,159296.15488999526,50.0
228308.33746682893,159296.15488999526,51.0
238694.9081384066,170845.64199048965,52.0
248812.97445496244,170845.64199048965,53.0
258720.91754233782,170845.64199048965,54.0
268524.9712614836,170845.64199048965,55.0
278184.7900495529,170845.64199048965,56.0
287844.6088376223,170845.64199048965,57.0
270382.8014994536,170845.64199048965,58.0
280235.98746995255,170845.64199048965,59.0
134176.708115042,185882.22406117216,60.0
145269.8734866089,185882.22406117216,61.0
156363.0388581757,185882.22406117216,62.0
167456.20422974258,190310.8332985587,63.0
178120.9930906592,190310.8332985587,64.0
188785.78195157586,190310.8332985587,65.0
199450.57081249251,216050.61103348073,66.0
203478.79812150504,245521.4293243916,67.0
214442.2259324492,245521.4293243916,68.0
225405.65374339334,245521.4293243916,69.0
236369.08155433755,245521.4293243916,70.0
223279.54733184396,245521.4293243916,71.0
234646.81650548824,245521.4293243916,72.0
246014.08567913258,245521.4293243916,73.0
257381.35485277686,245521.4293243916,74.0
268748.62402642117,245521.4293243916,75.0
223531.97578474678,283274.6741867055,76.0
234170.12082414402,325113.4947703369,77.0
225861.7107779342,325113.4947703369,78.0
236335.86188082054,325113.4947703369,79.0
246810.0129837068,325113.4947703369,80.0
257284.16408659308,329862.5458261011,81.0
267324.2999022214,329862.5458261011,82.0
274167.2155003877,334144.81052130635,83.0
283659.1666422228,334144.81052130635,84.0
293151.1177840578,334144.81052130635,85.0
302643.0689258928,334144.81052130635,86.0
312135.0200677278,334144.81052130635,87.0
320959.1346169034,334144.81052130635,88.0
329765.0873258904,334144.81052130635,89.0
338571.04003487737,334144.81052130635,90.0
347376.9927438644,334144.81052130635,91.0
356182.9454528514,334144.81052130635,92.0
307499.0924712312,334144.81052130635,93.0
316831.892888149,381664.301748279,94.0
325903.56197220116,381664.301748279,95.0
334975.2310562532,381664.301748279,96.0
344046.9001403053,381664.301748279,97.0
353118.56922435743,415640.5011843691,98.0
361929.1069755439,415640.5011843691,99.0
370739.64472673024,415640.5011843691,100.0
379550.18247791665,415640.5011843691,101.0
388360.72022910306,415640.5011843691,102.0
397171.2579802895,415640.5011843691,103.0
365907.3082149621,415640.5011843691,104.0
375249.32551130716,415640.5011843691,105.0
384427.26222289196,415640.5011843691,106.0
393605.1989344767,415640.5011843691,107.0
402670.7481714807,496517.7602205256,108.0
411285.2859523849,537836.6229807653,109.0
419743.7229391169,537836.6229807653,110.0
428202.1599258488,537836.6229807653,111.0
436660.5969125807,537836.6229807653,112.0
445119.0338993127,537836.6229807653,113.0
453577.4708860447,537836.6229807653,114.0
462035.9078727766,537836.6229807653,115.0
467439.3928517217,537836.6229807653,116.0
412236.70822015963,541996.0367365181,117.0
421171.64131573,541996.0367365181,118.0
425742.20110657654,541996.0367365181,119.0
435432.5666544657,541996.0367365181,120.0
444356.22346637066,541996.0367365181,121.0
453249.1089720977,541996.0367365181,122.0
461825.5829880713,571118.0276839093,123.0
470021.57071574643,571118.0276839093,124.0
359146.2197898677,571118.0276839093,125.0
366949.846738948,571118.0276839093,126.0
374753.4736880283,578621.3218615204,127.0
382122.3294704566,578621.3218615204,128.0
389491.1852528848,578621.3218615204,129.0
396860.04103531304,578621.3218615204,130.0
404228.8968177413,587194.670164655,131.0
411020.5575720594,587194.670164655,132.0
417812.21832637745,587194.670164655,133.0
424603.8790806956,685976.7333688841,134.0
430888.097682858,685976.7333688841,135.0
437172.31628502044,685976.7333688841,136.0
443456.5348871829,685976.7333688841,137.0
449540.8952348242,685976.7333688841,138.0
455421.2724742866,702420.8421716955,139.0
460530.4093906504,702420.8421716955,140.0
465639.5463070141,702420.8421716955,141.0
470748.68322337803,702420.8421716955,142.0
475188.6615066177,702420.8421716955,143.0
479601.7266924147,702420.8421716955,144.0
484014.79187821166,702420.8421716955,145.0
488427.8570640087,702420.8421716955,146.0
492840.92224980565,702420.8421716955,147.0
497253.9874356027,702420.8421716955,148.0
501667.05262139963,702420.8421716955,149.0
506080.1178071967,702420.8421716955,150.0
299627.6633065443,702420.8421716955,151.0
304849.9761587048,702420.8421716955,152.0
310072.2890108652,702420.8421716955,153.0
315294.6018630257,702420.8421716955,154.0
320104.79368657246,702420.8421716955,155.0
308968.77990333136,702420.8421716955,156.0
313982.00274546584,702420.8421716955,157.0
318995.2255876005,702420.8421716955,158.0
324008.448429735,702420.8421716955,159.0
329021.6712718697,702420.8421716955,160.0
334034.8941140042,702420.8421716955,161.0
339048.1169561388,702420.8421716955,162.0
344061.33979827334,702420.8421716955,163.0
349074.56264040794,702420.8421716955,164.0
354087.7854825425,702420.8421716955,165.0
359101.00832467707,702420.8421716955,166.0
364114.2311668116,702420.8421716955,167.0
369127.45400894625,705241.2805814962,168.0
373715.63446966547,705241.2805814962,169.0
378303.8149303848,714630.1949919955,170.0
382735.8945969319,714630.1949919955,171.0
387167.97426347894,714630.1949919955,172.0
391600.0539300261,714630.1949919955,173.0
396032.1335965732,835087.0480776285,174.0
400096.6100022821,835087.0480776285,175.0
404079.60517220316,835087.0480776285,176.0
407458.08314506395,835087.0480776285,177.0
410836.56111792487,835087.0480776285,178.0
414215.0390907857,835087.0480776285,179.0
417593.5170636465,835087.0480776285,180.0
420971.9950365074,835087.0480776285,181.0
424350.4730093683,835087.0480776285,182.0
427678.73391026194,835087.0480776285,183.0
430690.59955874283,835087.0480776285,184.0
433702.4652072238,835087.0480776285,185.0
436714.33085570484,835087.0480776285,186.0
439726.19650418573,835087.0480776285,187.0
313675.6911115656,835087.0480776285,188.0
317092.9630637099,835087.0480776285,189.0
320510.2350158541,835087.0480776285,190.0
323927.50696799846,835087.0480776285,191.0
327344.7789201427,835087.0480776285,192.0
330762.05087228696,835087.0480776285,193.0
334179.32282443123,835087.0480776285,194.0
337596.5947765755,835087.0480776285,195.0
341013.8667287198,835087.0480776285,196.0
344431.13868086407,835087.0480776285,197.0
347782.1184953415,835087.0480776285,198.0
350795.5490847856,835087.0480776285,199.0
353808.97967422975,835087.0480776285,200.0
301301.72461043816,835087.0480776285,201.0
305134.12752764416,835087.0480776285,202.0
308966.5304448502,835087.0480776285,203.0
312798.93336205627,835087.0480776285,204.0
316631.33627926226,835087.0480776285,205.0
320463.73919646826,835087.0480776285,206.0
324296.1421136743,835087.0480776285,207.0
328128.5450308803,835087.0480776285,208.0
331960.9479480863,885476.9463345243,209.0
334974.3785375304,885476.9463345243,210.0
337834.9473433196,885476.9463345243,211.0
340444.5365700636,885476.9463345243,212.0
343054.12579680764,885476.9463345243,213.0
345663.71502355166,885476.9463345243,214.0
348273.3042502957,885476.9463345243,215.0
350882.89347703964,885476.9463345243,216.0
353492.48270378367,885476.9463345243,217.0
356102.0719305277,885476.9463345243,218.0
358711.66115727165,885476.9463345243,219.0
361321.2503840157,885476.9463345243,220.0
363930.8396107597,885476.9463345243,221.0
366540.4288375037,885476.9463345243,222.0
369150.01806424774,885476.9463345243,223.0
371759.60729099176,885476.9463345243,224.0
374369.1965177357,885476.9463345243,225.0
376978.78574447974,885476.9463345243,226.0
379588.37497122376,885476.9463345243,227.0
382197.9641979678,885476.9463345243,228.0
384737.97705242573,885476.9463345243,229.0
386820.7185712389,885476.9463345243,230.0
388903.46009005205,885476.9463345243,231.0
390986.20160886523,885476.9463345243,232.0
393068.9431276784,885476.9463345243,233.0
395151.6846464916,885476.9463345243,234.0
397234.42616530485,885476.9463345243,235.0
399317.16768411803,885476.9463345243,236.0
401399.9092029312,885476.9463345243,237.0
403482.6507217444,885476.9463345243,238.0
405565.3922405575,885476.9463345243,239.0
407648.1337593707,885476.9463345243,240.0
