"Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
0.0,3850626.364802827,3836997.021984037,0.0
0.0,3850671.7959455564,3810425.8485558587,0.0
0.0,3850805.949103522,3763830.851329576,0.0
0.0,3851095.8660961012,3715374.397920574,0.0
0.0,3851548.27099002,3648554.693241048,0.0
0.0,3852224.9162491835,3632332.5100101153,0.0
6406.914107555562,3846550.976829091,3544508.187155952,0.0
6406.914107555562,3847557.7861280013,3440914.4755698447,0.0
6406.914107555562,3848913.263829862,3430168.3984190654,0.0
6406.914107555562,3850309.0800478985,3252012.5053195297,0.0
6406.914107555562,3852303.401963659,3212346.1772039044,0.0
6406.914107555562,3854436.5927128587,3021053.2628135234,0.0
6406.914107555562,3857214.5371458563,2917989.945542261,0.0
21777.167321600435,3844975.03257049,2704017.116540419,0.0
21777.167321600435,3848778.2256239234,2561301.80227381,0.0
21777.167321600435,3853069.8137017577,2409810.895856677,0.0
21777.167321600435,3857880.6767612416,2212743.5580965974,0.0
21777.167321600435,3863364.4671567897,2219676.204833676,0.0
21777.167321600435,3868843.4280312005,2236820.2318710526,0.0
21777.167321600435,3874283.5053517343,2154312.0471823,0.0
21777.167321600435,3880016.7435456333,2005239.5992040944,0.0
21777.167321600435,3886266.0006934386,2024993.0284298076,0.0
21777.167321600435,3892470.2439343175,2044316.701306642,0.0
108143.47813722464,3812264.444927451,1896443.893830564,0.0
108143.47813722464,3818650.5134311086,1855948.6810703215,0.0
108143.47813722464,3825192.852872311,1750529.641496671,0.0
108143.47813722464,3832108.3969102306,1770565.2707019432,0.0
108143.47813722464,3838980.207330925,1790409.2171618023,0.0
108143.47813722464,3845808.777298155,1799469.0879698228,0.0
108143.47813722464,3852629.909595916,1816792.8234351438,0.0
108143.47813722464,3859416.0332164513,1837725.4996996354,0.0
108143.47813722464,3866155.001661509,1732472.7657378658,0.0
108143.47813722464,3873267.2757812543,1699747.4215851785,0.0
108143.47813722464,3880512.3419619077,1720948.4571696413,0.0
108143.47813722464,3887710.888244549,1740799.4475475927,0.0
147883.49013743972,3855127.2477133237,1613387.579611416,0.0
147883.49013743972,3862599.7132736635,1633761.1832801173,0.0
196550.81960501496,3821361.8455727343,1648237.9440423618,0.0
196550.81960501496,3828605.591911168,1568137.2323768274,0.0
196550.81960501496,3836140.48644295,1588096.6204543822,0.0
196550.81960501496,3843633.965996246,1608056.0085319371,0.0
335184.5547838758,3712452.1573422663,1570898.839334055,0.0
335184.5547838758,3719590.6684022937,1590929.0139104365,0.0
371199.87036863575,3690670.8916658396,1610959.1884868185,0.0
371199.87036863575,3697603.264009771,1404889.0310564283,0.0
371199.87036863575,3705245.644786282,1371025.6725266976,0.0
371199.87036863575,3713026.3780271476,1391961.7695683304,0.0
371199.87036863575,3720763.2600553427,1412112.4084158295,0.0
442156.5986561766,3657502.034606601,1300367.4880666765,0.0
442156.5986561766,3665359.149761733,1320065.3794837506,0.0
442156.5986561766,3673176.795662662,1339763.2709008246,0.0
442156.5986561766,3680954.8407452004,1270258.6684214245,0.0
596586.3853113592,3534560.707997764,1290384.096023054,0.0
596586.3853113592,3542041.296704347,1310105.861723752,0.0
596586.3853113592,3549481.0814876156,1329827.6274244494,0.0
641782.023844056,3511684.287801796,1348892.578758999,0.0
641782.023844056,3518893.5934986062,1365898.789673152,0.0
641782.023844056,3526070.242844691,1382472.5940416849,0.0
641782.023844056,3533215.568340701,1390616.4017074758,0.0
641782.023844056,3540357.565562812,1407883.6407109038,0.0
641782.023844056,3547465.8119789856,1424802.0058790552,0.0
641782.023844056,3554541.3579993173,1376599.7273798366,0.0
