"Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
0.0,1261573.2825309006,1253995.2913686188,0.0
0.0,1261598.5425014417,1246607.3287164762,0.0
0.0,1261648.5132140582,1248304.494042051,0.0
0.0,1261692.9932779649,1242295.4663500765,0.0
0.0,1261757.6517010578,1239279.4182349376,0.0
0.0,1261832.579145945,1240515.7362184522,0.0
0.0,1261903.6352890364,1241752.0542019666,0.0
0.0,1261970.8072259934,1241264.2602887067,0.0
0.0,1262039.8290491176,1211221.54665375,0.0
0.0,1262209.223323769,1213448.7358293056,0.0
0.0,1262371.7582820836,1195872.903982991,0.0
0.0,1262593.4211297473,1198032.387185523,0.0
0.0,1262808.6245762282,1200029.052943254,0.0
0.0,1263017.8898150048,1202025.7187009845,0.0
0.0,1263221.1970520515,1179677.6155570457,0.0
0.0,1263499.6756570346,1182440.04166597,0.0
0.0,1263769.874437005,1163762.1008530436,0.0
11770.584957141196,1252332.6487251436,1154445.924459703,0.0
11770.584957141196,1252658.9378060286,1156481.0300364182,0.0
11770.584957141196,1252979.5308319272,1158516.1356131334,0.0
11770.584957141196,1253294.40881599,1086338.4495753215,0.0
11770.584957141196,1253850.9286801254,1036099.0521253545,0.0
11770.584957141196,1254576.7682686416,1039634.9557295847,0.0
31636.84629163779,1235426.9796426084,1032070.6047778632,0.0
31636.84629163779,1236104.834225491,1025631.5765310118,0.0
31636.84629163779,1236806.4117511392,1003746.2182837948,0.0
31636.84629163779,1237583.279062697,943376.9135074931,0.0
31636.84629163779,1238563.966947881,943337.2494526365,0.0
31636.84629163779,1239548.0560061985,872712.238118573,0.0
31636.84629163779,1240770.842065824,878573.0907733269,0.0
31636.84629163779,1241978.1679034655,833504.9317954578,0.0
31636.84629163779,1243339.7453571588,792174.719536664,0.0
31636.84629163779,1244843.6287765605,756649.3064013496,0.0
31636.84629163779,1246470.943184478,764098.482388434,0.0
31636.84629163779,1248078.8513871315,771547.6583755184,0.0
31636.84629163779,1249667.28869717,778996.8343626028,0.0
31636.84629163779,1251236.1902116186,756985.8241365902,0.0
31636.84629163779,1252883.6914318688,765341.5004059982,0.0
31636.84629163779,1254508.8320686216,773697.176675406,0.0
89383.34001146228,1198365.0438667745,782052.8529448141,0.0
89383.34001146228,1199752.7511698478,789206.418729137,0.0
89383.34001146228,1201121.2389446502,795882.2900124299,0.0
89383.34001146228,1202472.035441091,802558.1612957229,0.0
89383.34001146228,1203805.0816882423,737741.217093366,0.0
97731.90507641988,1197010.062838601,744826.6663630126,0.0
114247.1897464975,1182002.0561567752,674635.0367708938,0.0
114247.1897464975,1183693.2795547282,681826.7326919128,0.0
114247.1897464975,1185366.1680442707,688549.3209060342,0.0
114247.1897464975,1187022.2242013984,695240.1818635797,0.0
114247.1897464975,1188661.4976758577,701931.0428211252,0.0
114247.1897464975,1190283.9325253735,708621.9037786707,0.0
114247.1897464975,1191889.472621196,682661.0837787885,0.0
189816.66322889,1118017.4271016116,637168.954419599,0.0
189816.66322889,1119620.255343885,581264.2138145304,0.0
189816.66322889,1121414.775482316,588136.405803092,0.0
189816.66322889,1123192.3700479136,595008.5977916538,0.0
189816.66322889,1124952.9826221012,482072.8638501229,0.0
189816.66322889,1127095.9163513412,488829.0825355144,0.0
189816.66322889,1129223.4724640606,495585.30122090597,0.0
189816.66322889,1131335.599701538,460077.14903866476,0.0
189816.66322889,1133573.1278704142,467300.5921867618,0.0
200642.91717510956,1124967.7823764735,474524.0353348589,0.0
200642.91717510956,1127135.9281999457,481519.6984600208,0.0
200642.91717510956,1129287.9822990787,488515.36158518284,0.0
200642.91717510956,1131423.891034792,495511.0247103448,0.0
200642.91717510956,1133543.600589207,502506.68783550675,0.0
200642.91717510956,1135647.0569650524,509502.35096066864,0.0
200642.91717510956,1137734.2059850672,516498.01408583065,0.0
200642.91717510956,1139804.993291398,523493.67721099267,0.0
200642.91717510956,1141859.3643449994,499217.82290977327,0.0
200642.91717510956,1144001.5028164503,463819.5769939148,0.0
200642.91717510956,1146268.7759025253,451271.2652293974,0.0
200642.91717510956,1148585.434271436,458276.06286167155,0.0
200642.91717510956,1150886.4655094687,464685.9657928159,0.0
200642.91717510956,1153173.800508524,470924.76956647926,0.0
200642.91717510956,1155447.9639449976,477163.5733401426,0.0
200642.91717510956,1157708.9119136804,483402.37711380597,0.0
