"Assets","Defaulted Assets","tick"
1327751.7571959295,0.0,0.0
1327751.7571959295,0.0,1.0
1318112.1769816973,0.0,2.0
1298533.7072175664,0.0,3.0
1284676.9227510488,0.0,4.0
1281252.6743485278,0.0,5.0
1282852.8007593239,0.0,6.0
1207343.3401277994,0.0,7.0
1212598.8074729224,0.0,8.0
1185980.0368239395,0.0,9.0
1111091.3047919776,0.0,10.0
1092343.70805281,0.0,11.0
1092532.5328404058,0.0,12.0
1002028.1348025207,0.0,13.0
939426.3769559428,0.0,14.0
817087.6518604361,0.0,15.0
772172.3376399382,0.0,16.0
782473.4712011981,0.0,17.0
694316.2129442682,0.0,18.0
704883.5549336501,0.0,19.0
573848.6910166983,0.0,20.0
505665.9235886116,28557.429461321477,21.0
519265.50076508813,58363.01803693718,22.0
467691.12327945884,72586.18941221086,23.0
480595.15080983465,72586.18941221086,24.0
416438.5725599577,72586.18941221086,25.0
371726.4537837869,72586.18941221086,26.0
177606.24123633152,72586.18941221086,27.0
192876.28147847997,131190.8905871179,28.0
207048.25003761813,131190.8905871179,29.0
221220.21859675628,131190.8905871179,30.0
235392.18715589447,138822.55075394906,31.0
246929.04712468456,146231.34540841207,32.0
261138.06027012618,146231.34540841207,33.0
231422.9502249806,181632.9255796145,34.0
246494.82678191867,181632.9255796145,35.0
261252.78743544745,181632.9255796145,36.0
227054.93247149154,237272.00456437576,37.0
241295.1190825676,244934.7971756468,38.0
254967.1762281654,244934.7971756468,39.0
259679.3705959605,244934.7971756468,40.0
201997.51614249055,244934.7971756468,41.0
217695.7012374802,244934.7971756468,42.0
233393.88633246985,244934.7971756468,43.0
209010.73443566842,244934.7971756468,44.0
225350.07775783946,244934.7971756468,45.0
235078.7585148036,244934.7971756468,46.0
251941.76532208873,244934.7971756468,47.0
268804.77212937386,244934.7971756468,48.0
281679.90370567294,244934.7971756468,49.0
298013.51135830657,244934.7971756468,50.0
314347.1190109402,244934.7971756468,51.0
330680.72666357376,276146.1108612827,52.0
346178.45506487135,276146.1108612827,53.0
361059.14349910186,276146.1108612827,54.0
374735.63746545155,276146.1108612827,55.0
388159.830534164,276146.1108612827,56.0
401177.8565112772,276146.1108612827,57.0
413413.0612834826,276146.1108612827,58.0
352960.8932466974,323088.5089501706,59.0
363498.31238478736,323088.5089501706,60.0
373580.1212359782,323088.5089501706,61.0
383010.79078136466,323088.5089501706,62.0
391729.69416808896,323088.5089501706,63.0
400275.62342659023,323088.5089501706,64.0
408821.5526850915,323088.5089501706,65.0
417367.48194359284,323088.5089501706,66.0
398157.25076421513,323088.5089501706,67.0
314200.1996269196,323088.5089501706,68.0
324069.78506277414,323088.5089501706,69.0
333939.3704986287,323088.5089501706,70.0
343808.9559344833,323088.5089501706,71.0
353678.5413703379,323088.5089501706,72.0
363548.12680619245,323088.5089501706,73.0
373417.712242047,323088.5089501706,74.0
383287.29767790163,335891.1857939542,75.0
392396.3490093436,335891.1857939542,76.0
401219.87438431877,335891.1857939542,77.0
299889.83197542775,335891.1857939542,78.0
308874.85372033966,344711.93180547626,79.0
316891.5673002697,344711.93180547626,80.0
324908.28088019975,344711.93180547626,81.0
332924.9944601297,344711.93180547626,82.0
340941.70804005966,344711.93180547626,83.0
348958.42161998973,344711.93180547626,84.0
356826.31785912404,344711.93180547626,85.0
364259.9453314645,344711.93180547626,86.0
371693.57280380494,344711.93180547626,87.0
379127.2002761454,344711.93180547626,88.0
386560.8277484859,344711.93180547626,89.0
393952.76504926966,353449.69903017645,90.0
399637.19657643244,353449.69903017645,91.0
405321.6281035953,353449.69903017645,92.0
336515.1510631333,353449.69903017645,93.0
271511.3445447346,353449.69903017645,94.0
278716.8442807226,353449.69903017645,95.0
285922.3440167107,353449.69903017645,96.0
293127.8437526988,360512.254809568,97.0
300118.38934686483,463583.1761679284,98.0
307033.4298098973,505472.5374881999,99.0
245698.95125473855,505472.5374881999,100.0
252616.77995127373,612767.2349969329,101.0
259054.80957668548,612767.2349969329,102.0
265492.8392020972,612767.2349969329,103.0
271930.86882750894,612767.2349969329,104.0
239625.81964974056,612767.2349969329,105.0
246561.71421403263,612767.2349969329,106.0
253497.6087783247,612767.2349969329,107.0
260433.50334261678,612767.2349969329,108.0
267369.3979069089,612767.2349969329,109.0
274305.2924712009,612767.2349969329,110.0
281241.18703549297,628316.9420183415,111.0
287986.89958136185,628316.9420183415,112.0
294732.6121272308,628316.9420183415,113.0
301478.3246730997,628316.9420183415,114.0
307723.382814877,628316.9420183415,115.0
313362.698836782,628316.9420183415,116.0
318908.8835219917,628316.9420183415,117.0
312774.7136992639,628316.9420183415,118.0
319418.9700674839,628316.9420183415,119.0
317192.0439653444,628316.9420183415,120.0
286788.9985726519,628316.9420183415,121.0
294410.9189508755,628316.9420183415,122.0
224822.15436272413,628316.9420183415,123.0
232953.61456794717,628316.9420183415,124.0
241085.07477317026,628316.9420183415,125.0
249216.5349783933,628316.9420183415,126.0
246820.3155081956,628316.9420183415,127.0
255639.3394126964,628316.9420183415,128.0
264292.0790727529,628316.9420183415,129.0
