"Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
0.0,1295426.017358731,1280732.941101087,0.0
0.0,1295474.9942795897,1281794.3258495582,0.0
0.0,1295520.59650769,1279045.5326419426,0.0
0.0,1295575.5133872423,1280519.5721933413,0.0
0.0,1295625.6998578887,1281993.61174474,0.0
0.0,1295671.1401515992,1283467.6512961388,0.0
0.0,1295711.818447784,1284941.6908475375,0.0
0.0,1295747.7188731183,1286415.7303989364,0.0
0.0,1295778.8255013656,1287889.7699503351,0.0
0.0,1295805.1223532022,1289363.8095017339,0.0
0.0,1295826.5933960404,1290837.8490531326,0.0
0.0,1295843.22254385,1292311.8886045313,0.0
0.0,1295854.9936569813,1293536.0344876375,0.0
0.0,1295862.7235208792,1294597.4192361087,0.0
0.0,1295866.9412018282,1295389.5755988255,0.0
0.0,1295868.532420505,1295868.532420505,0.0
0.0,1295868.532420505,1277555.2668915687,0.0
0.0,1295929.5766389347,1278188.7768062758,0.0
0.0,1295988.712638377,1278822.286720983,0.0
0.0,1296045.9340581014,1279455.7966356904,0.0
0.0,1296101.2345161762,1280089.3065503975,0.0
0.0,1296154.6076093954,1280722.8164651047,0.0
0.0,1296206.0469132096,1281272.1710244543,0.0
0.0,1296255.8264995057,1281684.8258273818,0.0
0.0,1296304.396501746,1282097.4806303096,0.0
0.0,1296351.752887984,1282510.135433237,0.0
0.0,1296397.8916128331,1282343.0323230585,0.0
0.0,1296444.7411437992,1283168.3419289135,0.0
0.0,1296488.9958078486,1283750.5958205184,0.0
0.0,1296531.4571411398,1284163.250623446,0.0
0.0,1296572.6844961988,1284575.9054263735,0.0
0.0,1296612.673759765,1284988.5602293012,0.0
0.0,1296651.4208048664,1285401.2150322287,0.0
0.0,1296688.9214907752,1270282.2084155309,0.0
0.0,1296776.9438676927,1213899.6055178675,0.0
0.0,1297053.2016621921,1214919.3941260227,0.0
0.0,1297326.981020646,1104324.7649674485,0.0
0.0,1297970.3217408233,1105816.6073794495,0.0
0.0,1298610.834122028,1107308.4497914505,0.0
0.0,1299248.5087364633,1108800.2922034515,0.0
0.0,1299883.3361249065,1110292.1346154527,0.0
0.0,1300515.3067966048,1111783.9770274537,0.0
0.0,1301144.4112291688,1113275.8194394547,0.0
0.0,1301770.6398684678,1114767.6618514557,0.0
0.0,1302393.9831285246,1116259.5042634567,0.0
0.0,1303014.431391408,1117751.3466754577,0.0
0.0,1303631.975007128,1094573.6010657814,0.0
0.0,1304328.836253599,1096365.3878333014,0.0
0.0,1305022.0477483333,1098157.1746008217,0.0
0.0,1305711.5973254917,993338.6825246032,0.0
0.0,1306752.840374828,995479.8729093843,0.0
0.0,1307790.4169330462,963289.4148262355,0.0
0.0,1308938.7536067355,966010.7991201611,0.0
0.0,1310081.8467883575,968732.183414087,0.0
0.0,1311219.6789996051,971453.5677080126,0.0
0.0,1312352.2327039104,857912.5109333781,0.0
0.0,1313867.031776479,745962.0129091941,0.0
0.0,1315760.0485060366,749319.6207033001,0.0
0.0,1317648.1832653792,752677.2284974059,0.0
0.0,1319531.4197812723,643804.0473890824,0.0
0.0,1321783.8443559129,647673.2490493592,0.0
0.0,1324030.8796736016,651389.911674986,0.0
0.0,1326273.016233597,654846.4585323352,0.0
0.0,1328511.104759268,658303.0053896846,0.0
0.0,1330745.1317571667,661759.5522470337,0.0
0.0,1332975.0836888668,632882.6654552583,0.0
0.0,1335308.725082979,636721.7341037181,0.0
0.0,1337637.3483862435,544701.0175672175,0.0
0.0,1340280.4694889735,549051.6800818482,0.0
0.0,1342917.8987869972,553402.3425964789,0.0
0.0,1345549.6173076322,557753.0051111096,0.0
0.0,1348175.6060149542,562103.6676257402,0.0
0.0,1350795.8458095847,363880.2356097882,0.0
0.0,1354085.564510251,368665.50498351484,0.0
0.0,1357370.2980420068,373450.7743572415,0.0
0.0,1360650.0297876229,378236.0437309682,0.0
0.0,1363924.7430744783,383021.3131046949,0.0
0.0,1367194.4211743777,387806.58247842157,0.0
0.0,1370459.0473033644,392591.85185214825,0.0
0.0,1373718.604621535,397377.12122587493,0.0
0.0,1376973.0762328538,402162.39059960155,0.0
0.0,1380222.4451849647,406947.6599733283,0.0
0.0,1383466.694469004,411732.9293470549,0.0
0.0,1386705.8070194102,416518.1987207816,0.0
0.0,1389939.765713739,421303.4680945083,0.0
0.0,1393168.55337247,426088.73746823496,0.0
0.0,1396392.1527588174,430874.00684196164,0.0
0.0,1399610.5465785405,435659.27621568827,0.0
0.0,1402823.71747975,440444.545589415,0.0
0.0,1406031.648052718,445229.81496314163,0.0
0.0,1409234.3208296832,450015.08433686837,0.0
0.0,1412431.718284659,454800.353710595,0.0
0.0,1415623.8228332396,459585.6230843217,0.0
0.0,1418810.6168324028,464370.89245804836,0.0
0.0,1421992.0825803173,469156.16183177504,0.0
0.0,1425168.2023161456,473941.4312055017,0.0
0.0,1428338.958219848,478726.70057922835,0.0
0.0,1431504.3324119835,483511.9699529551,0.0
0.0,1434664.3069535138,488297.23932668177,0.0
0.0,1437818.863845603,493082.5087004084,0.0
0.0,1440967.9850294206,497867.7780741352,0.0
0.0,1444111.6523859382,502653.0474478618,0.0
0.0,1447249.8477357319,507438.3168215885,0.0
0.0,1450382.552838779,512223.5861953152,0.0
0.0,1453509.7493942573,517008.8555690418,0.0
0.0,1456631.4190403414,521794.12494276854,0.0
0.0,1459747.543354,526579.3943164952,0.0
0.0,1462858.1038507917,531364.6636902218,0.0
0.0,1465963.0819846604,475865.43731956277,0.0
0.0,1469263.4074668777,481063.361496217,0.0
0.0,1472557.4076201129,486261.2856728713,0.0
0.0,1475845.0613599373,491459.2098495255,0.0
107027.60344429204,1372098.7440873468,496597.39939121774,0.0
107027.60344429204,1375017.0819030006,501221.30793649354,0.0
107027.60344429204,1377929.734482889,505845.2164817693,0.0
107027.60344429204,1380836.682876226,510469.1250270451,0.0
107027.60344429204,1383737.9080690567,515093.03357232094,0.0
107027.60344429204,1386633.3909840458,519716.9421175967,0.0
107027.60344429204,1389523.1124802674,523772.5857408765,0.0
107027.60344429204,1392408.947569399,527816.3003770078,0.0
107027.60344429204,1395290.92306004,531860.015013139,0.0
107027.60344429204,1398169.0260868634,535903.7296492703,0.0
107027.60344429204,1401043.2437416553,528500.647018641,0.0
107027.60344429204,1403951.7190640655,533055.9555209432,0.0
107027.60344429204,1406854.7049425426,537611.2640232453,0.0
107027.60344429204,1409752.1830789405,542166.5725255475,0.0
107027.60344429204,1412644.1351141185,546721.8810278496,0.0
107027.60344429204,1415530.5426277393,551277.1895301518,0.0
107027.60344429204,1418411.3871380645,543713.8152108075,0.0
107027.60344429204,1421327.0457111557,548568.8216539555,0.0
107027.60344429204,1424236.2397913465,553423.8280971036,0.0
107027.60344429204,1427138.9478303273,558278.8345402515,0.0
107027.60344429204,1430035.1482079609,563133.8409833995,0.0
107027.60344429204,1432924.8192320429,567988.8474265476,0.0
107027.60344429204,1435807.9391380614,572843.8538696956,0.0
107027.60344429204,1438684.486088956,577698.8603128436,0.0
107027.60344429204,1441554.4381748764,580025.5180414116,0.0
107027.60344429204,1444426.201241988,585180.2224254055,0.0
107027.60344429204,1447290.35450471,590334.9268093994,0.0
107027.60344429204,1450146.8725970278,595489.6311933931,0.0
107027.60344429204,1452995.7300683733,600644.335577387,0.0
107027.60344429204,1455836.9013833432,605799.0399613808,0.0
107027.60344429204,1458670.3609214167,610953.7443453746,0.0
107027.60344429204,1461496.08297667,583508.030263233,0.0
107027.60344429204,1464422.7098190482,588766.1224421052,0.0
107027.60344429204,1467341.5651103049,593895.9067000607,0.0
230656.87442955177,1346623.779653079,598492.1904261773,0.0
230656.87442955177,1349117.5516171688,590760.5427653425,0.0
230656.87442955177,1351645.408313342,596041.817758426,0.0
230656.87442955177,1354164.0869485247,601323.0927515095,0.0
230656.87442955177,1356673.5569291816,606604.367744593,0.0
230656.87442955177,1359173.787559797,611885.6427376765,0.0
230656.87442955177,1361664.7480425371,617166.91773076,0.0
230656.87442955177,1364146.40747691,622448.1927238434,0.0
230656.87442955177,1366618.7348594202,627729.4677169269,0.0
230656.87442955177,1369081.6990832288,633010.7427100104,0.0
230656.87442955177,1371535.2689378064,638292.0177030939,0.0
230656.87442955177,1373979.4131085887,643573.2926961773,0.0
230656.87442955177,1376414.10017663,648265.2191034193,0.0
230656.87442955177,1378841.2631135408,652393.9077251846,0.0
230656.87442955177,1381262.7542981685,656522.5963469499,0.0
230656.87442955177,1383678.5548246726,660651.2849687152,0.0
230656.87442955177,1386088.6457241925,664779.9735904806,0.0
230656.87442955177,1388493.0079646383,668908.662212246,0.0
230656.87442955177,1390891.6224504798,673037.3508340113,0.0
230656.87442955177,1393284.4700225345,676955.6157931115,0.0
230656.87442955177,1395672.232869966,680701.7826237665,0.0
230656.87442955177,1398055.46770412,684447.9494544213,0.0
230656.87442955177,1400434.159431619,688194.1162850761,0.0
230656.87442955177,1402808.2929087742,691940.2831157311,0.0
230656.87442955177,1405177.8529414178,695686.4499463859,0.0
230656.87442955177,1407542.8242847347,699432.6167770406,0.0
230656.87442955177,1409903.1916430937,703031.0001249992,0.0
230656.87442955177,1412259.4322814876,706477.4690148082,0.0
230656.87442955177,1414612.0388257098,709923.9379046173,0.0
230656.87442955177,1416960.9991621135,713370.4067944261,0.0
230656.87442955177,1419306.3011366723,716816.8756842352,0.0
230656.87442955177,1421647.932554847,720263.3445740442,0.0
230656.87442955177,1423985.88118145,723709.8134638533,0.0
230656.87442955177,1426320.1347405089,727156.2823536623,0.0
230656.87442955177,1428650.6809151317,730602.7512434714,0.0
230656.87442955177,1430977.5073473705,734049.2201332804,0.0
230656.87442955177,1433300.6016380843,737495.6890230895,0.0
230656.87442955177,1435619.9513468011,740942.1579128985,0.0
230656.87442955177,1437935.5439915808,744388.6268027076,0.0
230656.87442955177,1440247.367048877,747835.0956925165,0.0
230656.87442955177,1442555.4079533983,751281.5645823255,0.0
230656.87442955177,1444859.6540979685,754728.0334721345,0.0
230656.87442955177,1447160.0928333881,758174.5023619436,0.0
230656.87442955177,1449456.7114682929,761620.9712517525,0.0
230656.87442955177,1451749.4972690146,765067.4401415616,0.0
230656.87442955177,1454038.4374594395,768513.9090313705,0.0
230656.87442955177,1456323.5192208663,771960.3779211796,0.0
230656.87442955177,1458604.7296918654,775406.8468109886,0.0
230656.87442955177,1460882.0559681351,778853.3157007975,0.0
230656.87442955177,1463155.4851023597,782299.7845906065,0.0
230656.87442955177,1465425.0041040655,785746.2534804156,0.0
230656.87442955177,1467690.5999394776,789192.7223702245,0.0
230656.87442955177,1469952.2595313753,792639.1912600335,0.0
230656.87442955177,1472209.9697589464,796085.6601498424,0.0
230656.87442955177,1474463.7174576435,799532.1290396515,0.0
230656.87442955177,1476713.4894190368,802978.5979294605,0.0
230656.87442955177,1478959.2723906687,806425.0668192696,0.0
230656.87442955177,1481201.0530759066,809871.5357090784,0.0
230656.87442955177,1483438.818133796,738463.8983572804,0.0
230656.87442955177,1485922.0678663845,742459.2548890118,0.0
230656.87442955177,1488400.2772429758,746454.6114207433,0.0
230656.87442955177,1490873.4294623833,750449.9679524746,0.0
230656.87442955177,1493341.5076674165,754445.324484206,0.0
230656.87442955177,1495804.494944694,758440.6810159374,0.0
230656.87442955177,1498262.3743244566,762436.0375476688,0.0
230656.87442955177,1500715.1287803792,766431.3940794001,0.0
230656.87442955177,1503162.7412293823,770426.7506111315,0.0
230656.87442955177,1505605.1945314433,774422.1071428629,0.0
230656.87442955177,1508042.4714894053,778417.4636745943,0.0
230656.87442955177,1510474.554848788,782412.8202063256,0.0
230656.87442955177,1512901.4272975964,786408.176738057,0.0
230656.87442955177,1515323.071466128,790403.5332697884,0.0
230656.87442955177,1517739.469926783,794398.8898015199,0.0
230656.87442955177,1520150.605193867,798394.2463332512,0.0
230656.87442955177,1522556.4597234025,802389.6028649827,0.0
230656.87442955177,1524957.0159129307,806384.9593967141,0.0
230656.87442955177,1527352.256101318,810380.3159284455,0.0
230656.87442955177,1529742.1625685608,814375.6724601769,0.0
230656.87442955177,1532126.717535589,818371.0289919083,0.0
230656.87442955177,1534505.903164068,822366.3855236396,0.0
230656.87442955177,1536879.701556203,826361.742055371,0.0
230656.87442955177,1539248.094754539,830357.0985871024,0.0
230656.87442955177,1541611.0647417638,834352.4551188338,0.0
230656.87442955177,1543968.593440507,634541.2526280512,0.0
230656.87442955177,1547000.0179098821,639158.6589115388,0.0
230656.87442955177,1550026.1557732096,643776.0651950262,0.0
230656.87442955177,1553046.9894084705,648393.4714785138,0.0
230656.87442955177,1556062.5011349036,653010.8777620012,0.0
230656.87442955177,1559072.6732128134,657628.2840454888,0.0
230656.87442955177,1562077.487843371,662245.6903289763,0.0
230656.87442955177,1565076.9271684194,666863.0966124638,0.0
230656.87442955177,1568070.9732702724,671322.625235335,0.0
230656.87442955177,1571060.134430389,675536.6993684252,0.0
230656.87442955177,1574045.2125472622,679750.7735015153,0.0
