"Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
0.0,1258449.9014569041,1244099.2529538188,0.0
0.0,1258497.7369519146,1240162.3863256862,0.0
0.0,1258558.8547873353,1236923.8122209185,0.0
0.0,1258630.9715958904,1208439.638176597,0.0
0.0,1258798.276040621,1198870.341176996,0.0
0.0,1258998.0358234998,1203274.4209626126,0.0
0.0,1259183.7812063694,1207459.7926044555,0.0
0.0,1259356.1945017092,1211207.7184783854,0.0
0.0,1259516.689421787,1214753.0821775612,0.0
0.0,1259665.9014459343,1217709.3780249797,0.0
0.0,1259805.7565240043,1220665.673872398,0.0
230.26053825936543,1259705.9629279168,1223163.0244930033,0.0
230.26053825936543,1259827.7727227,1181168.9328699764,0.0
230.26053825936543,1260089.9688555424,1133742.2523731678,0.0
230.26053825936543,1260511.1279104836,1136257.9841365728,0.0
230.26053825936543,1260925.3050563966,1136721.6612089968,0.0
230.26053825936543,1261339.3172025546,1085005.812678094,0.0
230.26053825936543,1261927.0955509697,1087414.1322727094,0.0
230.26053825936543,1262508.8054285636,1021095.7379476397,0.0
230.26053825936543,1263313.5156534999,962272.6446726819,0.0
230.26053825936543,1264316.9852234363,963637.0849244987,0.0
230.26053825936543,1265319.2515577658,968558.7467017496,0.0
230.26053825936543,1266308.4532406193,779431.4753186037,0.0
230.26053825936543,1267931.3765003593,712519.868467937,0.0
230.26053825936543,1269782.748193801,706552.0459974292,0.0
230.26053825936543,1271660.1838677886,610834.9900059748,0.0
230.26053825936543,1273862.9345139947,617941.8237533073,0.0
230.26053825936543,1276049.3382165304,563635.1201291862,0.0
230.26053825936543,1278424.0522768218,500258.45096411713,0.0
44593.69807438557,1236654.5000784046,249037.71819829484,0.0
44593.69807438557,1239946.556018005,232814.65643972115,0.0
55187.373074006,1232709.987350312,244104.31993783911,0.0
55187.373074006,1236005.3395750206,254769.76876182997,0.0
55187.373074006,1239276.1248110645,265435.2175858209,0.0
55187.373074006,1242522.2611684822,208761.15205859859,0.0
55187.373074006,1245968.1315321818,219916.37981585495,0.0
55187.373074006,1249388.304037903,230873.0180242172,0.0
55187.373074006,1252783.3549912819,241829.65623257947,0.0
58457.426662511214,1252883.1470653058,252786.29444094174,0.0
58457.426662511214,1256216.8032407204,262761.0475798502,0.0
58457.426662511214,1259528.3224262567,272735.8007187586,0.0
73173.08598467434,1248101.9715097854,282710.553857667,0.0
73173.08598467434,1251319.9429019592,291960.2101240605,0.0
73173.08598467434,1254517.8086778857,301209.8663904541,0.0
90760.27712990297,1240108.310673615,310459.5226568476,0.0
90760.27712990297,1243207.1399670045,256294.992587913,0.0
90760.27712990297,1246496.847124935,265408.7536600046,0.0
90760.27712990297,1249767.1407698179,274459.16988045274,0.0
153102.13040769834,1190676.3140616538,283307.009038469,0.0
298336.91267639643,1048466.0961430331,291763.9738163904,0.0
298336.91267639643,1050988.4365507886,299254.00704387686,0.0
300911.78459721967,1050919.346061655,289100.6535192671,0.0
300911.78459721967,1053458.7417034633,241162.79222500068,0.0
300911.78459721967,1056166.3948683916,248929.53899240505,0.0
300911.78459721967,1058857.1843879782,256595.5690667564,0.0
324813.9394257287,1037629.234943873,214532.5150992006,0.0
324813.9394257287,1040372.8906766889,204010.42553346325,0.0
324813.9394257287,1043160.7655604995,212787.47170492966,0.0
324813.9394257287,1045928.6765400183,205782.89991907065,0.0
324813.9394257287,1048729.162462088,214951.43966485618,0.0
324813.9394257287,1051508.4215380792,213542.79056968546,0.0
324813.9394257287,1054301.6403079736,223415.06659658765,0.0
324813.9394257287,1057071.262220345,233055.7930727735,0.0
324813.9394257287,1059817.980450837,242696.5195489594,0.0
361601.71022137685,1025753.9478581952,252337.24602514523,0.0
361601.71022137685,1028332.003530972,247974.51092307048,0.0
361601.71022137685,1030933.1951729985,257981.89628945081,0.0
361601.71022137685,1033509.6995026101,267989.2816558312,0.0
361601.71022137685,1036061.4342287664,277996.66702221154,0.0
361601.71022137685,1038588.3167861215,288004.05238859187,0.0
361601.71022137685,1041090.2643341133,298011.43775497226,0.0
361601.71022137685,1043567.1937560438,308018.82312135265,0.0
371569.5027444952,1036051.2291350411,318026.208487733,0.0
371569.5027444952,1038444.6458705321,327207.8208260263,0.0
371569.5027444952,1040815.4352873472,335167.08186043584,0.0
371569.5027444952,1043167.596465437,342932.40270734124,0.0
371569.5027444952,1045501.7137779641,350429.63692599186,0.0
371569.5027444952,1047818.620700804,357569.12482114846,0.0
371569.5027444952,1050119.4523537364,364708.612716305,0.0
371569.5027444952,1052404.1551525278,371848.1006114617,0.0
371569.5027444952,1054672.6753343313,378600.719458548,0.0
371569.5027444952,1056926.248520584,385193.66998552345,0.0
371569.5027444952,1059165.3571157008,391786.62051249895,0.0
371569.5027444952,1061389.9529043783,398362.0732436802,0.0
371569.5027444952,1063600.045836581,404174.94290761556,0.0
372791.7532666143,1064575.8789908914,409987.81257155095,0.0
